t  ID  type  x  y  dx  dy
45505  3  3  1.51333  0.09333  0.92667  -0.36667
46052  2  1  0.24667  0.91333  0.17333  -0.50667
46161  2  3  0.24667  0.91333  0.26667  -0.64000
47255  1  1  -0.81333  0.29333  0.13333  0.00000
47364  1  3  -0.81333  0.29333  0.99333  0.09333
48009  4  1  -0.19333  -1.10000  -0.07333  -0.42667
48119  4  1  -0.19333  -1.10000  -0.13333  -0.64000
48228  4  3  -0.19333  -1.10000  -0.16667  -0.67333
50091  2  1  1.16000  0.78667  0.84667  -0.54667
50200  2  3  1.16000  0.78667  0.94667  -0.65333
51076  4  1  -0.73333  -1.11333  -0.30667  0.36000
51185  4  3  -0.73333  -1.11333  -0.38000  0.51333
51623  3  1  1.09333  -0.79333  -0.00667  -0.00667
51732  3  1  1.09333  -0.79333  -0.44667  0.83333
51842  3  3  1.09333  -0.79333  -0.55333  0.96667
52279  1  1  -0.30000  0.93333  0.22000  -0.52000
52389  1  1  -0.30000  0.93333  0.35333  -0.82000
52498  1  3  -0.30000  0.93333  0.35333  -0.83333
54357  2  1  1.24000  0.28667  0.08667  -0.07333
54467  2  3  1.24000  0.28667  0.74667  -0.48000
54904  4  1  -0.75333  -0.20000  0.20667  0.02000
55014  4  3  -0.75333  -0.20000  0.83333  0.16000
55670  3  1  0.27333  -0.98000  -0.08667  -0.09333
55779  3  3  0.27333  -0.98000  -0.26667  -0.22667
56436  2  1  1.49333  0.02667  0.42667  -0.12000
56545  2  1  1.49333  0.02667  0.98667  -0.25333
56655  2  3  1.49333  0.02667  0.98667  -0.25333
57639  3  1  -0.09333  -1.01333  -0.12667  -0.24000
57748  3  3  -0.09333  -1.01333  -0.38667  -0.51333
58515  1  1  0.53333  0.68000  0.12000  -0.07333
58624  1  1  0.53333  0.68000  0.70667  -0.42000
58736  1  3  0.53333  0.68000  0.84667  -0.51333
60158  3  1  -0.30667  -1.14000  -0.59333  -0.38667
60268  3  1  -0.30667  -1.14000  -0.80667  -0.63333
60377  3  3  -0.30667  -1.14000  -0.80667  -0.63333
61362  4  1  -0.50000  0.88000  0.13333  -0.08000
61471  4  3  -0.50000  0.88000  0.71333  -0.39333
62456  1  1  1.28000  0.49333  0.44000  -0.22000
62566  1  3  1.28000  0.49333  0.74667  -0.31333
63112  4  1  -0.54667  0.89333  0.14000  -0.63333
63222  4  3  -0.54667  0.89333  0.21333  -0.79333
63659  2  1  0.58667  -0.85333  -0.19333  0.36000
63769  2  3  0.58667  -0.85333  -0.69333  0.90000
64316  3  1  -1.04000  -0.64000  -0.00667  0.01333
64425  3  3  -1.04000  -0.64000  0.00000  0.02667
64972  3  3  -0.83333  -0.41333  0.70000  0.49333
65300  1  1  1.26000  0.33333  0.16667  -0.05333
65409  1  1  1.26000  0.33333  1.07333  -0.19333
65519  1  3  1.26000  0.33333  1.08000  -0.19333
66066  4  1  -0.21333  0.80667  0.28000  0.02000
66175  4  3  -0.21333  0.80667  0.60667  0.02667
66503  3  1  -0.91333  -0.32000  0.92667  -0.05333
66613  3  3  -0.91333  -0.32000  1.06000  -0.05333
66941  2  1  0.12000  -1.00667  -0.02667  -0.03333
67050  2  1  0.12000  -1.00667  -0.32000  -0.42000
67159  2  3  0.12000  -1.00667  -0.32667  -0.44667
68144  4  1  0.20667  0.89333  0.05333  -0.04667
68253  4  3  0.20667  0.89333  0.46667  -0.35333
69240  2  1  -0.34000  -1.23333  -0.01333  -0.20667
69349  2  1  -0.34000  -1.23333  -0.02667  -0.41333
69459  2  3  -0.34000  -1.23333  -0.03333  -0.42000
70771  4  1  0.97333  0.80667  0.20000  -0.16667
70882  4  3  0.97333  0.80667  0.31333  -0.21333
71866  1  1  1.00667  -0.68667  -0.64667  0.25333
71975  1  3  1.00667  -0.68667  -1.14000  0.78667
72522  3  1  -0.56000  0.79333  0.05333  -0.07333
72632  3  1  -0.56000  0.79333  0.49333  -0.56667
72742  3  3  -0.56000  0.79333  0.58667  -0.65333
74273  4  1  1.09333  0.55333  0.08667  -0.01333
74383  4  3  1.09333  0.55333  0.85333  -0.28667
75147  1  1  0.26667  -0.88667  -0.02000  0.50667
75257  1  3  0.26667  -0.88667  -0.04667  0.59333
75694  2  1  -0.86000  -0.36000  0.29333  0.14667
75804  2  3  -0.86000  -0.36000  1.00667  0.28667
76788  3  1  0.04667  0.88667  0.60000  -0.17333
76897  3  3  0.04667  0.88667  0.82000  -0.21333
77226  4  1  1.51333  0.20667  0.69333  -0.25333
77335  4  3  1.51333  0.20667  1.00667  -0.32000
78086  1  1  -0.01333  -0.87333  0.00000  -0.08000
78195  1  1  -0.01333  -0.87333  -0.02000  -0.70000
78305  1  3  -0.01333  -0.87333  -0.01333  -0.76667
79617  1  1  -0.18667  -0.96000  0.04667  -0.16000
79727  1  1  -0.18667  -0.96000  0.14667  -0.73333
79836  1  3  -0.18667  -0.96000  0.12000  -0.80000
80711  3  1  1.03333  0.74000  0.52000  -0.46000
80821  3  3  1.03333  0.74000  0.68667  -0.66000
82462  3  1  1.02000  0.73333  0.52667  -0.14000
82571  3  3  1.02000  0.73333  0.62667  -0.15333
83009  2  1  -0.66667  0.74000  0.45333  -0.40000
83118  2  3  -0.66667  0.74000  0.50667  -0.49333
83556  4  1  0.81333  -0.72667  -0.05333  0.04000
83665  4  1  0.81333  -0.72667  -0.74667  0.70000
83775  4  3  0.81333  -0.72667  -0.77333  0.76667
84650  1  1  -0.94667  -0.83333  -0.06000  -0.00667
84759  1  1  -0.94667  -0.83333  -0.60667  -0.03333
84868  1  3  -0.94667  -0.83333  -0.62000  -0.03333
85853  3  1  0.99333  0.24667  0.01333  0.00000
85962  3  1  0.99333  0.24667  0.75333  -0.12667
86071  3  3  0.99333  0.24667  1.10667  -0.22000
87057  2  1  0.15333  0.55333  0.11333  -0.29333
87166  2  3  0.15333  0.55333  0.42667  -0.65333
87495  1  1  -1.10000  -0.52667  0.99333  0.13333
87604  1  3  -1.10000  -0.52667  1.14000  0.19333
88041  1  1  -0.82000  0.04667  0.74667  -0.10000
88151  1  3  -0.82000  0.04667  0.98667  -0.12000
88699  4  1  -0.00667  -1.23333  -0.09333  -0.51333
88808  4  3  -0.00667  -1.23333  -0.10000  -0.53333
89684  4  1  -0.50000  -0.90000  0.18000  -0.43333
89794  4  1  -0.50000  -0.90000  0.42667  -0.74000
89903  4  3  -0.50000  -0.90000  0.45333  -0.76000
90998  2  1  0.70000  0.88000  0.34667  -0.24000
91107  2  3  0.70000  0.88000  0.48000  -0.31333
91982  3  1  0.94667  -0.83333  -0.12667  0.22000
92091  3  3  0.94667  -0.83333  -0.48000  0.74000
93404  1  1  -0.68000  0.90667  0.76667  -0.20000
93513  1  3  -0.68000  0.90667  1.12667  -0.31333
