t  x  y  th  vel  obstacle
238   -1.00000  -1.00000  0  0.00000  0
394   -1.00000  -1.00000  89  0.04055  0
550   -1.00000  -0.99392  89  0.07578  0
715   -1.00000  -0.98255  89  0.10619  0
871   -1.00000  -0.96662  89  0.13225  0
1027  -1.00000  -0.94679  89  0.15439  0
1184  -1.00000  -0.92363  89  0.17304  0
1340  -1.00000  -0.89767  89  0.18858  0
1496  -1.00000  -0.86938  89  0.20137  0
1652  -1.00000  -0.83918  89  0.21174  0
1809  -1.00000  -0.80742  89  0.22000  0
1965  -1.00000  -0.77442  89  0.22643  0
2121  -1.00000  -0.74045  89  0.23127  0
2277  -1.00000  -0.70576  89  0.23476  0
2434  -1.00000  -0.67055  89  0.23709  0
2590  -1.00000  -0.63499  90  0.23846  0
2746  -1.00000  -0.59922  90  0.23903  0
2902  -1.00000  -0.56336  90  0.23894  0
3059  -1.00001  -0.52752  90  0.23833  0
3215  -1.00002  -0.49177  90  0.23731  0
3371  -1.00004  -0.45618  90  0.23597  0
3527  -1.00006  -0.42078  90  0.23438  0
3684  -1.00010  -0.38562  85  0.21258  0
3840  -0.99741  -0.35385  79  0.19413  0
3996  -0.99217  -0.32521  73  0.17948  0
4152  -0.98468  -0.29935  68  0.16838  0
4309  -0.97524  -0.27592  62  0.16035  0
4465  -0.96417  -0.25457  57  0.15481  0
4621  -0.95177  -0.23494  53  0.15112  0
4777  -0.93834  -0.21667  50  0.14869  0
4934  -0.92419  -0.19943  48  0.14704  0
5090  -0.90962  -0.18288  47  0.14588  0
5246  -0.89489  -0.16669  47  0.14503  0
5402  -0.88027  -0.15058  48  0.14449  0
5559  -0.86600  -0.13427  50  0.14436  0
5715  -0.85230  -0.11750  53  0.14480  0
5871  -0.83937  -0.10005  56  0.14602  0
6027  -0.82737  -0.08172  60  0.14820  0
6184  -0.81644  -0.06237  64  0.15145  0
6340  -0.80669  -0.04185  68  0.15583  0
6496  -0.79820  -0.02007  72  0.16126  0
6652  -0.79103  0.00303  76  0.16759  0
6809  -0.78519  0.02748  80  0.17462  0
6965  -0.78070  0.05329  83  0.18211  0
7121  -0.77752  0.08042  86  0.18980  0
7277  -0.77561  0.10882  88  0.19742  0
7434  -0.77489  0.13843  90  0.20473  0
7590  -0.77527  0.16914  92  0.21151  0
7746  -0.77666  0.20083  93  0.21757  0
7902  -0.77891  0.23339  95  0.22277  0
8059  -0.78192  0.26667  96  0.22697  0
8215  -0.78553  0.30052  96  0.23009  0
8371  -0.78961  0.33479  97  0.23207  0
8527  -0.79400  0.36933  97  0.23287  0
8685  -0.79855  0.40396  97  0.23247  0
8841  -0.80311  0.43853  97  0.23071  0
8997  -0.80733  0.47288  96  0.22784  0
