t  x  y  th  vel  obstacle
247   -1.00000  -1.00000  0  0.00000  0
403   -1.00000  -1.00000  89  0.04055  0
560   -1.00000  -0.99392  89  0.07578  0
716   -1.00000  -0.98255  89  0.10619  0
872   -1.00000  -0.96662  89  0.13225  0
1028  -1.00000  -0.94679  89  0.15439  0
1185  -1.00000  -0.92363  89  0.17304  0
1341  -1.00000  -0.89767  89  0.18858  0
1497  -1.00000  -0.86938  89  0.20137  0
1653  -1.00000  -0.83918  89  0.21174  0
1810  -1.00000  -0.80742  89  0.22000  0
1966  -1.00000  -0.77442  89  0.22643  0
2122  -1.00000  -0.74045  89  0.23127  0
2278  -1.00000  -0.70576  89  0.23476  0
2435  -1.00000  -0.67055  89  0.23709  0
2591  -1.00000  -0.63499  90  0.23846  0
2747  -1.00000  -0.59922  90  0.23903  0
2903  -1.00000  -0.56336  90  0.23894  0
3060  -1.00001  -0.52752  90  0.23833  0
3216  -1.00002  -0.49177  90  0.23731  0
3372  -1.00004  -0.45618  90  0.23597  0
3528  -1.00006  -0.42078  90  0.23438  0
3685  -1.00010  -0.38562  90  0.23264  0
3841  -1.00015  -0.35073  90  0.23078  0
3997  -1.00022  -0.31611  90  0.22886  0
4153  -1.00030  -0.28178  90  0.22692  0
4310  -1.00040  -0.24774  90  0.22499  0
4466  -1.00051  -0.21400  90  0.22310  0
4622  -1.00064  -0.18053  90  0.22126  1
4778  -1.00079  -0.14734  90  0.21949  1
4935  -1.00095  -0.11442  90  0.21780  1
5091  -1.00113  -0.08175  90  0.21619  1
5247  -1.00132  -0.04932  90  0.21466  1
5403  -1.00152  -0.01712  90  0.21321  1
5560  -1.00172  0.01486  90  0.21183  1
5716  -1.00192  0.04663  90  0.21052  1
5872  -1.00212  0.07821  90  0.20927  1
6028  -1.00230  0.10960  90  0.20806  1
6185  -1.00246  0.14080  90  0.20688  1
6341  -1.00258  0.17184  90  0.20572  1
6497  -1.00267  0.20269  90  0.20456  1
6653  -1.00269  0.23338  89  0.20338  0
6810  -1.00265  0.26388  89  0.20216  0
6966  -1.00251  0.29421  89  0.20088  0
7122  -1.00226  0.32434  89  0.19953  0
7278  -1.00188  0.35427  88  0.19808  0
7435  -1.00134  0.38397  88  0.19651  0
7591  -1.00062  0.41344  88  0.19480  0
7747  -0.99968  0.44264  87  0.19293  0
7903  -0.99850  0.47156  87  0.19088  0
8060  -0.99702  0.50015  86  0.18864  0
8216  -0.99522  0.52839  85  0.18618  0
8372  -0.99305  0.55623  84  0.18351  0
8528  -0.99046  0.58364  83  0.18062  0
8685  -0.98740  0.61056  82  0.17750  0
8841  -0.98381  0.63694  80  0.17417  0
8997  -0.97965  0.66273  79  0.17065  0
9153  -0.97484  0.68787  77  0.16697  0
9310  -0.96933  0.71230  75  0.16318  0
9466  -0.96304  0.73596  72  0.15935  0
9622  -0.95592  0.75877  69  0.15557  0
9778  -0.94789  0.78068  66  0.15194  0
9935  -0.93889  0.80162  63  0.14860  0
10091  -0.92885  0.82153  59  0.14570  0
10247  -0.91772  0.84033  55  0.14340  0
10403  -0.90543  0.85799  50  0.14185  0
10560  -0.89193  0.87444  42  0.12598  0
10716  -0.87790  0.88709  31  0.11367  0
10872  -0.86335  0.89599  20  0.10997  0
11028  -0.84789  0.90174  10  0.11139  0
11185  -0.83147  0.90481  2  0.11500  0
11341  -0.81423  0.90551  -4  0.12030  0
11497  -0.79624  0.90409  0  0.13095  0
11653  -0.77660  0.90431  4  0.14126  0
11810  -0.75547  0.90586  6  0.15082  0
11966  -0.73300  0.90847  8  0.15944  0
12122  -0.70933  0.91191  9  0.16707  0
12278  -0.68460  0.91596  9  0.17374  0
12435  -0.65893  0.92046  10  0.17950  0
12591  -0.63244  0.92526  10  0.18444  0
12747  -0.60522  0.93023  10  0.18862  0
12903  -0.57738  0.93527  10  0.19214  0
13060  -0.54900  0.94029  9  0.19508  0
13216  -0.52016  0.94523  9  0.19752  2
13367  -0.49092  0.95003  8  0.19952  2
13524  -0.46135  0.95465  8  0.20115  2
13680  -0.43150  0.95906  7  0.20247  2
13836  -0.40142  0.96325  7  0.20352  2
13992  -0.37115  0.96719  6  0.20434  2
14149  -0.34072  0.97088  6  0.20498  0
14305  -0.31017  0.97432  5  0.20545  0
14461  -0.27951  0.97751  5  0.20579  0
14617  -0.24879  0.98045  5  0.20601  0
14774  -0.21801  0.98317  4  0.20615  0
14930  -0.18718  0.98565  4  0.20620  0
15086  -0.15634  0.98793  3  0.20619  0
15242  -0.12548  0.99000  3  0.20612  0
15399  -0.09462  0.99188  3  0.20600  0
15555  -0.06376  0.99359  2  0.20584  0
15711  -0.03293  0.99513  -1  0.19665  0
15867  -0.00343  0.99452  -6  0.18400  0
16024  0.02399  0.99143  -11  0.17383  0
16180  0.04953  0.98614  -8  0.17941  0
16336  0.07613  0.98210  -6  0.18453  0
16492  0.10365  0.97912  -4  0.18909  0
16649  0.13194  0.97704  -2  0.19302  0
16805  0.16086  0.97571  -1  0.19631  0
16977  0.19030  0.97498  0  0.19894  0
17133  0.22014  0.97473  0  0.20096  0
17289  0.25028  0.97486  0  0.20237  0
17446  0.28063  0.97524  1  0.20321  0
17602  0.31111  0.97579  -4  0.18997  0
17758  0.33953  0.97375  -10  0.17304  0
17914  0.36507  0.96911  -16  0.15955  3
18070  0.38803  0.96237  -22  0.14910  3
18227  0.40872  0.95387  -27  0.14153  3
18383  0.42747  0.94390  -33  0.13628  0
18539  0.44458  0.93272  -23  0.14451  0
18695  0.46438  0.92390  -17  0.15371  0
18852  0.48638  0.91700  -12  0.16234  0
19008  0.51012  0.91161  -9  0.16962  0
19164  0.53521  0.90733  -7  0.17518  0
19320  0.56125  0.90384  -6  0.17893  0
19477  0.58792  0.90083  -5  0.18090  0
19633  0.61491  0.89800  -6  0.18123  0
19789  0.64194  0.89510  -6  0.18008  0
19945  0.66876  0.89191  -7  0.17766  0
20102  0.69515  0.88822  -9  0.17419  0
20258  0.72091  0.88384  -11  0.16994  0
20414  0.74586  0.87860  -14  0.16517  0
20570  0.76983  0.87236  -17  0.16018  0
20727  0.79270  0.86498  -21  0.15529  0
20883  0.81434  0.85636  -26  0.15083  0
21039  0.83466  0.84641  -30  0.14710  0
21196  0.85358  0.83507  -36  0.14439  0
21352  0.87106  0.82227  -41  0.14294  0
21508  0.88711  0.80805  -46  0.14271  0
21664  0.90177  0.79246  -51  0.14360  0
21821  0.91509  0.77553  -56  0.14546  0
21977  0.92713  0.75733  -60  0.14809  0
22133  0.93796  0.73794  -64  0.15129  0
22289  0.94765  0.71742  -68  0.15488  0
22446  0.95627  0.69584  -71  0.15870  0
22602  0.96391  0.67330  -74  0.16261  0
22758  0.97063  0.64985  -76  0.16650  0
22914  0.97651  0.62558  -78  0.17028  0
23071  0.98163  0.60055  -80  0.17389  0
23227  0.98605  0.57485  -81  0.17730  0
23383  0.98984  0.54852  -83  0.18046  0
23539  0.99307  0.52165  -84  0.18338  0
23696  0.99580  0.49427  -85  0.18605  0
23852  0.99807  0.46646  -86  0.18847  0
24008  0.99995  0.43825  -86  0.19065  0
24164  1.00149  0.40970  -87  0.19260  0
24321  1.00273  0.38083  -88  0.19433  0
24477  1.00372  0.35170  -88  0.19586  0
24633  1.00449  0.32233  -88  0.19720  0
24789  1.00507  0.29276  -89  0.19836  0
24946  1.00550  0.26301  -89  0.19937  0
25102  1.00581  0.23310  -89  0.20024  0
25258  1.00601  0.20307  -89  0.20097  0
25414  1.00614  0.17292  -89  0.20159  4
25571  1.00620  0.14268  -89  0.20210  4
25727  1.00621  0.11237  -90  0.20251  4
25883  1.00620  0.08199  -90  0.20283  4
26039  1.00615  0.05157  -90  0.20306  4
26196  1.00609  0.02111  -90  0.20322  4
26352  1.00602  -0.00937  -90  0.20329  4
26508  1.00594  -0.03987  -90  0.20329  4
26664  1.00585  -0.07036  -90  0.20321  4
26821  1.00575  -0.10084  -90  0.20305  4
26977  1.00564  -0.13130  -90  0.20281  4
27133  1.00550  -0.16172  -90  0.20247  4
27289  1.00534  -0.19209  -90  0.20204  0
27446  1.00514  -0.22240  -90  0.20151  0
27602  1.00488  -0.25262  -90  0.20086  0
27758  1.00455  -0.28275  -90  0.20008  0
27914  1.00414  -0.31276  -91  0.19916  0
28071  1.00362  -0.34263  -91  0.19809  0
28227  1.00296  -0.37233  -91  0.19685  0
28383  1.00215  -0.40185  -91  0.19543  0
28539  1.00114  -0.43115  -92  0.19382  0
28696  0.99992  -0.46020  -92  0.19199  0
28852  0.99843  -0.48896  -93  0.18994  0
29008  0.99664  -0.51739  -94  0.18765  0
29164  0.99451  -0.54546  -95  0.18513  0
29321  0.99199  -0.57311  -96  0.18235  0
29477  0.98902  -0.60030  -97  0.17933  0
29633  0.98556  -0.62698  -98  0.17608  0
29789  0.98154  -0.65308  -100  0.17261  0
29946  0.97691  -0.67856  -102  0.16896  0
30102  0.97161  -0.70334  -104  0.16517  0
30258  0.96555  -0.72736  -106  0.16130  0
30414  0.95869  -0.75057  -109  0.15744  0
30571  0.95094  -0.77288  -112  0.15370  0
30727  0.94225  -0.79423  -115  0.15019  0
30883  0.93254  -0.81456  -123  0.13678  0
31039  0.92117  -0.83164  -133  0.11848  0
31196  0.90889  -0.84448  -145  0.10630  0
31352  0.89581  -0.85360  -157  0.10027  0
31508  0.88192  -0.85938  -168  0.09973  0
31664  0.86724  -0.86224  -178  0.10327  0
31821  0.85175  -0.86258  173  0.10924  0
31977  0.83546  -0.86079  168  0.11634  0
32133  0.81837  -0.85727  164  0.12366  0
32289  0.80048  -0.85239  162  0.13068  0
32446  0.78178  -0.84650  172  0.13641  0
32602  0.76148  -0.84393  -179  0.14491  0
32758  0.73975  -0.84407  -174  0.15429  0
32914  0.71672  -0.84642  -170  0.16345  0
33071  0.69255  -0.85053  -167  0.17183  0
33227  0.66737  -0.85602  -165  0.17921  0
33383  0.64129  -0.86254  -164  0.18551  0
33539  0.61443  -0.86981  -164  0.19078  0
33696  0.58689  -0.87759  -163  0.19510  0
33852  0.55876  -0.88566  -164  0.19857  0
34008  0.53012  -0.89386  -164  0.20132  0
34164  0.50106  -0.90205  -164  0.20345  0
34321  0.47162  -0.91011  -165  0.20506  0
34477  0.44188  -0.91795  -165  0.20624  0
34633  0.41188  -0.92552  -166  0.20708  0
34789  0.38167  -0.93274  -167  0.20765  0
34946  0.35129  -0.93959  -168  0.20800  0
35102  0.32077  -0.94605  -168  0.20817  0
35258  0.29013  -0.95209  -169  0.20822  0
35414  0.25941  -0.95772  -170  0.20816  0
35571  0.22862  -0.96294  -171  0.20803  0
35727  0.19779  -0.96775  -171  0.20784  0
35883  0.16693  -0.97217  -172  0.20761  0
36039  0.13605  -0.97621  -173  0.20735  0
36196  0.10517  -0.97989  -173  0.20706  0
36352  0.07429  -0.98322  -174  0.20675  0
36508  0.04342  -0.98623  -174  0.20642  0
36664  0.01257  -0.98894  -175  0.20607  0
36821  -0.01824  -0.99136  -175  0.20569  0
36977  -0.04902  -0.99352  -176  0.20529  0
37133  -0.07975  -0.99542  -176  0.20485  0
37289  -0.11044  -0.99709  -175  0.20473  0
37446  -0.14103  -0.99973  -171  0.19493  0
37602  -0.16995  -1.00407  -167  0.17591  0
37758  -0.19567  -1.00994  -162  0.15819  0
37914  -0.21835  -1.01693  -158  0.13968  0
38071  -0.23787  -1.02455  -154  0.12381  0
38227  -0.25460  -1.03261  -150  0.11007  0
38383  -0.26890  -1.04085  -146  0.09879  0
38539  -0.28119  -1.04913  -142  0.08916  0
38696  -0.29175  -1.05735  -159  0.10814  0
38852  -0.30698  -1.06293  -170  0.12962  0
39008  -0.32614  -1.06622  -176  0.14975  0
39164  -0.34857  -1.06752  178  0.16726  0
39321  -0.37365  -1.06707  175  0.18181  0
39477  -0.40085  -1.06510  173  0.19346  0
39633  -0.42968  -1.06179  171  0.20238  0
39789  -0.45970  -1.05729  169  0.20881  6
39946  -0.49052  -1.05172  171  0.20893  6
40102  -0.52149  -1.04693  174  0.19595  6
40258  -0.55077  -1.04436  178  0.17058  6
40415  -0.57635  -1.04349  -179  0.14394  6
40571  -0.59794  -1.04369  -176  0.12073  6
40727  -0.61602  -1.04468  -174  0.10034  0
40883  -0.63099  -1.04622  -171  0.08348  0
41040  -0.64338  -1.04804  170  0.10243  0
41196  -0.65855  -1.04561  160  0.12238  0
41352  -0.67582  -1.03938  152  0.14054  0
41508  -0.69457  -1.02975  147  0.15616  0
41664  -0.71427  -1.01708  142  0.16924  0
41821  -0.73445  -1.00167  138  0.18000  0
41977  -0.75469  -0.98380  134  0.18879  0
42133  -0.77466  -0.96372  131  0.19590  0
42289  -0.79411  -0.94170  131  0.19738  0
42446  -0.81391  -0.91968  133  0.19624  0
42602  -0.83433  -0.89848  135  0.19524  0
42758  -0.85524  -0.87797  136  0.19426  0
42914  -0.87647  -0.85801  130  0.19672  0
43071  -0.89549  -0.83545  124  0.20016  0
43227  -0.91244  -0.81068  119  0.20402  0
43383  -0.92747  -0.78402  115  0.20791  0
43540  -0.94073  -0.75579  111  0.21158  0
43696  -0.95235  -0.72626  108  0.21488  0
43852  -0.96247  -0.69566  105  0.21771  0
44008  -0.97124  -0.66420  103  0.22004  0
44165  -0.97877  -0.63206  101  0.22186  0
44321  -0.98520  -0.59941  99  0.22321  0
44477  -0.99064  -0.56637  97  0.22412  0
44633  -0.99519  -0.53307  96  0.22463  0
44790  -0.99896  -0.49958  95  0.22479  0
44947  -1.00205  -0.46601  94  0.22465  0
45103  -1.00454  -0.43240  93  0.22425  0
45259  -1.00651  -0.39882  92  0.22365  0
45416  -1.00804  -0.36531  91  0.22288  0
45572  -1.00919  -0.33190  86  0.20731  0
45728  -1.00726  -0.30086  80  0.19486  0
