t  x  y  th  vel  obstacle
310   1.00000  1.00000  0  0.00000  0
466   1.00000  1.00000  -89  0.04055  0
622   1.00000  0.99392  -89  0.07578  0
778   1.00000  0.98255  -89  0.10619  0
935   1.00000  0.96662  -89  0.13225  0
1091  1.00000  0.94679  -89  0.15439  0
1247  1.00000  0.92363  -89  0.17304  0
1403  1.00000  0.89767  -89  0.18858  0
1560  1.00000  0.86938  -89  0.20137  0
1716  1.00000  0.83918  -89  0.21174  0
1872  1.00000  0.80742  -89  0.22000  0
2028  1.00000  0.77442  -89  0.22643  0
2185  1.00000  0.74045  -89  0.23127  0
2341  1.00000  0.70576  -89  0.23476  0
2497  1.00000  0.67055  -89  0.23709  0
2653  1.00000  0.63499  -89  0.23846  0
2810  1.00000  0.59922  -89  0.23903  0
2966  1.00000  0.56336  -88  0.23838  0
3122  1.00105  0.52762  -83  0.22136  0
3278  1.00460  0.49461  -79  0.20777  0
3435  1.01033  0.46397  -75  0.19734  0
3591  1.01794  0.43537  -71  0.18949  0
3747  1.02716  0.40848  -67  0.18354  0
3903  1.03773  0.38306  -64  0.18021  0
4060  1.04949  0.35872  -61  0.17874  0
4216  1.06223  0.33513  -59  0.17843  0
4372  1.07578  0.31205  -57  0.17873  0
4528  1.08999  0.28931  -68  0.18393  0
4685  1.10029  0.26372  -75  0.19229  0
4841  1.10728  0.23574  -82  0.20170  0
4997  1.11147  0.20577  -86  0.21086  0
5153  1.11334  0.17420  -90  0.21909  0
5310  1.11329  0.14134  -92  0.22606  0
5466  1.11169  0.10747  -94  0.23168  4
5622  1.10885  0.07283  -96  0.23596  4
5778  1.10504  0.03764  -97  0.23900  4
5935  1.10050  0.00208  -98  0.24091  4
6091  1.09543  -0.03370  -98  0.24183  4
6247  1.08998  -0.06956  -99  0.24189  4
6403  1.08429  -0.10539  -99  0.24122  4
6560  1.07848  -0.14111  -99  0.23994  4
6716  1.07263  -0.17662  -99  0.23815  0
6872  1.06681  -0.21186  -99  0.23593  0
7028  1.06105  -0.24678  -99  0.23336  0
7185  1.05540  -0.28133  -99  0.23051  0
7341  1.04987  -0.31546  -99  0.22741  0
7497  1.04446  -0.34914  -99  0.22410  0
7653  1.03916  -0.38233  -99  0.22061  0
7810  1.03395  -0.41501  -99  0.21696  0
7966  1.02880  -0.44715  -99  0.21316  0
8122  1.02367  -0.47871  -99  0.20921  0
8278  1.01851  -0.50966  -99  0.20512  0
8435  1.01328  -0.53998  -100  0.20088  0
8591  1.00792  -0.56963  -100  0.19650  0
8747  1.00235  -0.59858  -101  0.19198  0
8903  0.99652  -0.62678  -102  0.18734  0
9060  0.99034  -0.65419  -103  0.18259  0
9216  0.98375  -0.68077  -105  0.17916  0
9372  0.97637  -0.70661  -107  0.17405  0
9528  0.96846  -0.73150  -114  0.15235  0
9685  0.95898  -0.75229  -122  0.12788  0
9841  0.94869  -0.76848  -132  0.10942  0
9997  0.93765  -0.78063  -143  0.09626  0
10153  0.92601  -0.78917  -156  0.08847  0
10310  0.91384  -0.79446  -168  0.08619  0
10466  0.90116  -0.79699  -159  0.09761  0
10622  0.88741  -0.80202  -154  0.10956  0
10778  0.87253  -0.80899  -152  0.12083  0
10935  0.85647  -0.81739  -151  0.13092  0
11091  0.83925  -0.82683  -151  0.13977  0
11247  0.82091  -0.83699  -151  0.14748  0
11403  0.80149  -0.84759  -152  0.15415  0
11560  0.78104  -0.85838  -153  0.15995  0
11716  0.75962  -0.86918  -154  0.16498  0
11872  0.73728  -0.87983  -160  0.15569  0
12028  0.71522  -0.88750  -168  0.14444  0
12185  0.69403  -0.89199  -175  0.13704  0
12341  0.67355  -0.89375  177  0.13186  0
12497  0.65378  -0.89303  170  0.12704  0
12653  0.63496  -0.89005  177  0.14023  0
12810  0.61394  -0.88920  -177  0.15298  0
12966  0.59101  -0.89010  -174  0.16462  0
13122  0.56643  -0.89241  -172  0.17488  0
13274  0.54042  -0.89583  -171  0.18371  0
13430  0.51320  -0.90010  -170  0.19118  0
13586  0.48494  -0.90501  -169  0.19738  0
13742  0.45583  -0.91037  -169  0.20244  0
13899  0.42599  -0.91602  -169  0.20650  0
14055  0.39556  -0.92183  -174  0.19391  0
14211  0.36663  -0.92477  -173  0.19945  0
14367  0.33691  -0.92825  -172  0.20401  0
14524  0.30656  -0.93214  -172  0.20768  0
14680  0.27569  -0.93631  -172  0.21057  0
14836  0.24440  -0.94065  -172  0.21278  0
14992  0.21279  -0.94506  -172  0.21440  0
15149  0.18094  -0.94949  -172  0.21551  0
15305  0.14891  -0.95386  -172  0.21620  0
15461  0.11676  -0.95813  -172  0.21654  0
15617  0.08454  -0.96225  -173  0.21657  0
15774  0.05230  -0.96621  -173  0.21635  0
15930  0.02006  -0.96997  -173  0.21593  0
16086  -0.01213  -0.97352  -174  0.21533  0
16242  -0.04426  -0.97685  -174  0.21459  0
16399  -0.07630  -0.97994  -173  0.21499  0
16555  -0.10831  -0.98384  -168  0.20436  0
16711  -0.13839  -0.98976  -164  0.19622  0
16867  -0.16678  -0.99752  -160  0.18995  0
17024  -0.19372  -1.00681  -157  0.18586  0
17180  -0.21953  -1.01735  -155  0.18265  0
17336  -0.24437  -1.02891  -161  0.18402  0
17492  -0.27050  -1.03781  -166  0.18649  0
17649  -0.29769  -1.04438  -170  0.18939  0
17805  -0.32573  -1.04892  -174  0.19226  0
17961  -0.35444  -1.05168  -177  0.19480  0
18117  -0.38363  -1.05289  179  0.19683  0
18274  -0.41315  -1.05275  177  0.19824  0
18430  -0.44286  -1.05141  175  0.19899  6
18586  -0.47261  -1.04901  173  0.19907  6
18742  -0.50228  -1.04567  171  0.19849  6
18899  -0.53176  -1.04147  170  0.19729  6
19055  -0.56093  -1.03649  168  0.19551  6
19211  -0.58969  -1.03076  170  0.18281  6
19367  -0.61675  -1.02632  174  0.16751  6
19524  -0.64174  -1.02371  177  0.15416  6
19680  -0.66485  -1.02269  -179  0.14274  0
19836  -0.68626  -1.02284  173  0.14514  0
19992  -0.70788  -1.02029  166  0.14785  0
20149  -0.72948  -1.01528  161  0.15054  0
20305  -0.75086  -1.00800  155  0.15304  0
20461  -0.77181  -0.99863  150  0.15532  0
20617  -0.79217  -0.98731  146  0.15741  0
20774  -0.81178  -0.97416  141  0.15941  0
20930  -0.83050  -0.95928  137  0.16144  0
21086  -0.84822  -0.94277  132  0.16360  0
21242  -0.86483  -0.92471  128  0.16599  0
21399  -0.88027  -0.90517  124  0.16858  0
21555  -0.89453  -0.88429  120  0.17132  0
21711  -0.90763  -0.86218  117  0.17414  0
21867  -0.91960  -0.83896  114  0.17698  0
22024  -0.93048  -0.81475  111  0.17979  0
22180  -0.94031  -0.78964  108  0.18251  0
22336  -0.94916  -0.76373  106  0.18511  0
22492  -0.95708  -0.73712  104  0.18755  0
22649  -0.96413  -0.70988  102  0.18982  0
22805  -0.97037  -0.68210  101  0.19190  0
22961  -0.97587  -0.65385  99  0.19378  0
23117  -0.98069  -0.62518  98  0.19547  0
23274  -0.98487  -0.59616  97  0.19695  0
23430  -0.98849  -0.56684  95  0.19825  0
23586  -0.99160  -0.53727  95  0.19938  0
23742  -0.99425  -0.50748  94  0.20034  0
23899  -0.99648  -0.47751  93  0.20116  0
24055  -0.99836  -0.44739  89  0.19252  0
24211  -0.99787  -0.41852  82  0.17913  0
24367  -0.99454  -0.39186  84  0.18417  0
24524  -0.99194  -0.36435  85  0.18863  0
24680  -0.98995  -0.33613  87  0.19253  0
24836  -0.98851  -0.30729  88  0.19588  0
24992  -0.98753  -0.27792  88  0.19874  0
25149  -0.98695  -0.24812  89  0.20114  0
25305  -0.98671  -0.21795  86  0.18851  0
25461  -0.98487  -0.18973  80  0.17357  0
25617  -0.98044  -0.16407  74  0.16247  1
25774  -0.97377  -0.14063  68  0.15448  1
25930  -0.96515  -0.11912  62  0.14950  1
26086  -0.95489  -0.09918  57  0.14738  1
26242  -0.94313  -0.08046  53  0.14645  0
26399  -0.93011  -0.06277  65  0.15453  0
26555  -0.92060  -0.04163  74  0.16620  0
26711  -0.91407  -0.01757  81  0.17878  0
26867  -0.91006  0.00894  86  0.19078  0
27024  -0.90814  0.03750  89  0.20145  0
27180  -0.90793  0.06771  92  0.21050  0
27336  -0.90910  0.09927  93  0.21785  0
27492  -0.91137  0.13187  95  0.22353  0
27649  -0.91446  0.16525  96  0.22766  0
27805  -0.91816  0.19920  96  0.23037  0
27961  -0.92225  0.23351  97  0.23181  0
28117  -0.92656  0.26801  97  0.23212  0
28274  -0.93094  0.30256  97  0.23143  0
28430  -0.93525  0.33700  96  0.22987  0
28586  -0.93937  0.37124  96  0.22754  0
28743  -0.94319  0.40515  95  0.22454  0
28899  -0.94661  0.43866  95  0.22096  0
29055  -0.94956  0.47167  94  0.21687  0
29211  -0.95196  0.50411  93  0.21234  0
29368  -0.95372  0.53591  87  0.19029  0
29524  -0.95247  0.56443  80  0.17120  0
29680  -0.94841  0.58979  73  0.15628  0
29836  -0.94185  0.61229  75  0.15955  0
29992  -0.93573  0.63543  75  0.16158  0
30149  -0.92980  0.65893  75  0.16240  0
30305  -0.92384  0.68255  75  0.16211  0
30461  -0.91765  0.70606  74  0.16084  0
30617  -0.91104  0.72927  72  0.15878  0
30774  -0.90384  0.75197  70  0.15614  0
30930  -0.89590  0.77400  67  0.15314  0
31086  -0.88707  0.79521  64  0.15006  0
31243  -0.87723  0.81546  60  0.14718  0
31399  -0.86627  0.83462  55  0.14476  0
31555  -0.85411  0.85261  51  0.14308  0
31711  -0.84066  0.86933  46  0.14236  0
31868  -0.82594  0.88480  41  0.14260  0
32024  -0.80996  0.89902  37  0.14375  0
32180  -0.79275  0.91202  32  0.14570  0
32336  -0.77438  0.92385  28  0.14830  0
32493  -0.75488  0.93455  25  0.15139  0
32649  -0.73431  0.94419  17  0.15509  0
32805  -0.71217  0.95133  9  0.14816  0
32961  -0.69028  0.95515  1  0.14014  0
33118  -0.66927  0.95574  -6  0.13551  0
33274  -0.64906  0.95355  -13  0.13401  0
33430  -0.62951  0.94889  -19  0.13483  0
33586  -0.61046  0.94209  -12  0.14434  0
33743  -0.58932  0.93740  -7  0.15430  0
33899  -0.56636  0.93449  -3  0.16390  0
34055  -0.54181  0.93306  0  0.17274  0
34211  -0.51590  0.93286  1  0.18062  0
34368  -0.48882  0.93367  3  0.18749  0
34524  -0.46075  0.93528  4  0.19336  0
34680  -0.43183  0.93753  5  0.19829  0
34836  -0.40221  0.94026  5  0.20237  0
34993  -0.37202  0.94336  6  0.20568  0
35149  -0.34135  0.94671  6  0.20831  0
35305  -0.31030  0.95022  6  0.21034  0
35461  -0.27895  0.95382  6  0.21187  0
35618  -0.24738  0.95744  6  0.21296  0
35774  -0.21564  0.96103  6  0.21367  0
35930  -0.18378  0.96456  6  0.21408  0
36086  -0.15185  0.96798  5  0.21422  0
36243  -0.11989  0.97128  5  0.21415  0
36399  -0.08792  0.97442  5  0.21390  0
36555  -0.05597  0.97741  5  0.21351  0
36711  -0.02407  0.98022  4  0.21299  0
36868  0.00777  0.98286  4  0.21237  0
37024  0.03953  0.98530  4  0.21166  0
37180  0.07120  0.98756  3  0.21088  0
37336  0.10276  0.98963  3  0.21003  0
37493  0.13421  0.99150  3  0.20911  0
37649  0.16553  0.99318  2  0.20812  0
37805  0.19672  0.99465  2  0.20707  0
37961  0.22775  0.99593  1  0.20593  0
38118  0.25862  0.99699  1  0.20472  0
38274  0.28932  0.99784  1  0.20340  0
38430  0.31982  0.99845  0  0.20198  3
38586  0.35012  0.99883  0  0.20043  3
38743  0.38018  0.99896  0  0.19875  3
38899  0.40999  0.99880  0  0.19692  3
39055  0.43953  0.99836  -1  0.19492  3
39211  0.46876  0.99759  -6  0.17678  3
39368  0.49509  0.99445  -12  0.15974  3
39524  0.51845  0.98913  -11  0.16352  3
39680  0.54248  0.98419  -10  0.16633  3
39836  0.56698  0.97948  -10  0.16817  3
39993  0.59177  0.97485  -10  0.16909  3
40149  0.61670  0.97017  -11  0.16913  3
40305  0.64160  0.96531  -11  0.16836  0
40461  0.66632  0.96014  -12  0.16687  0
40618  0.69072  0.95455  -14  0.16475  0
40774  0.71465  0.94841  -16  0.16213  0
40930  0.73801  0.94162  -18  0.15914  0
41086  0.76065  0.93406  -21  0.15592  0
41243  0.78247  0.92564  -24  0.15267  0
41399  0.80337  0.91627  -27  0.14958  0
41555  0.82324  0.90585  -31  0.14685  0
41711  0.84200  0.89432  -35  0.14469  0
41868  0.85959  0.88159  -40  0.14331  0
42024  0.87593  0.86763  -45  0.14285  0
42180  0.89099  0.85239  -50  0.14337  0
42336  0.90478  0.83589  -54  0.14479  0
42493  0.91736  0.81818  -58  0.14697  0
42649  0.92877  0.79932  -62  0.14975  0
42805  0.93906  0.77935  -66  0.15298  0
42961  0.94829  0.75834  -69  0.15651  0
43118  0.95654  0.73636  -72  0.16020  0
43274  0.96386  0.71348  -74  0.16394  0
43430  0.97033  0.68975  -76  0.16764  0
43586  0.97601  0.66525  -78  0.17124  0
43743  0.98097  0.64005  -80  0.17467  0
43899  0.98528  0.61421  -82  0.17789  0
44055  0.98898  0.58778  -83  0.18090  0
44211  0.99216  0.56083  -84  0.18366  0
44368  0.99484  0.53342  -85  0.18619  0
44524  0.99710  0.50558  -86  0.18849  0
44680  0.99898  0.47737  -86  0.19055  0
44836  1.00053  0.44883  -87  0.19241  0
44994  1.00179  0.41999  -88  0.19406  0
45150  1.00279  0.39090  -88  0.19552  0
45306  1.00359  0.36158  -88  0.19681  0
45463  1.00420  0.33207  -89  0.19794  0
45619  1.00465  0.30238  -89  0.19892  0
45775  1.00499  0.27255  -89  0.19977  0
45931  1.00522  0.24258  -89  0.20050  0
46088  1.00537  0.21251  -89  0.20112  0
46244  1.00545  0.18234  -89  0.20164  0
46400  1.00549  0.15209  -89  0.20206  4
46556  1.00550  0.12178  -90  0.20241  4
46713  1.00548  0.09142  -90  0.20268  4
46869  1.00544  0.06102  -90  0.20287  4
47025  1.00540  0.03059  -90  0.20300  4
47181  1.00535  0.00014  -90  0.20306  4
47338  1.00529  -0.03032  -90  0.20305  4
47494  1.00523  -0.06078  -90  0.20297  4
47650  1.00516  -0.09122  -90  0.20282  4
47806  1.00508  -0.12165  -90  0.20259  4
47963  1.00498  -0.15203  -90  0.20228  4
48119  1.00486  -0.18238  -90  0.20188  0
48275  1.00470  -0.21266  -90  0.20138  0
48431  1.00448  -0.24287  -90  0.20077  0
48588  1.00421  -0.27298  -90  0.20004  0
48744  1.00385  -0.30298  -90  0.19918  0
48900  1.00338  -0.33286  -91  0.19816  0
49056  1.00279  -0.36258  -91  0.19699  0
49213  1.00204  -0.39211  -91  0.19564  0
49369  1.00112  -0.42145  -92  0.19410  0
49525  0.99997  -0.45054  -92  0.19235  0
49681  0.99858  -0.47936  -93  0.19039  0
49838  0.99690  -0.50787  -94  0.18819  0
49994  0.99489  -0.53602  -94  0.18576  0
50150  0.99250  -0.56378  -95  0.18308  0
50306  0.98968  -0.59110  -97  0.18016  0
50463  0.98639  -0.61792  -98  0.17700  0
50619  0.98256  -0.64419  -99  0.17362  0
50775  0.97814  -0.66986  -101  0.17005  0
50931  0.97306  -0.69486  -103  0.16633  0
51088  0.96726  -0.71912  -105  0.16251  0
51244  0.96068  -0.74259  -108  0.15867  0
51400  0.95324  -0.76520  -111  0.15490  0
51556  0.94489  -0.78688  -114  0.15133  0
51713  0.93554  -0.80757  -117  0.14808  0
51869  0.92514  -0.82720  -121  0.14532  0
52025  0.91364  -0.84571  -126  0.14319  0
52181  0.90097  -0.86305  -130  0.14187  0
52338  0.88708  -0.87918  -135  0.14146  0
52494  0.87195  -0.89406  -140  0.14205  0
52650  0.85556  -0.90767  -144  0.14357  0
52806  0.83794  -0.92005  -149  0.14587  0
52963  0.81915  -0.93126  -153  0.14879  0
53119  0.79924  -0.94135  -156  0.15215  0
53275  0.77828  -0.95039  -159  0.15581  0
53431  0.75635  -0.95845  -162  0.15962  0
53588  0.73350  -0.96560  -165  0.16346  0
53744  0.70980  -0.97190  -167  0.16726  0
53900  0.68532  -0.97742  -169  0.17093  0
54056  0.66014  -0.98223  -170  0.17443  5
54213  0.63431  -0.98639  -172  0.17772  5
54369  0.60789  -0.98997  -173  0.18077  5
54525  0.58095  -0.99302  -174  0.18358  5
54681  0.55353  -0.99560  -175  0.18613  5
54838  0.52570  -0.99776  -176  0.18845  5
54994  0.49749  -0.99955  -177  0.19053  5
55150  0.46895  -1.00101  -177  0.19239  5
55306  0.44011  -1.00219  -178  0.19404  5
55463  0.41102  -1.00312  -178  0.19551  5
55619  0.38170  -1.00385  -178  0.19679  5
55775  0.35219  -1.00440  -179  0.19792  5
55931  0.32250  -1.00481  -179  0.19890  5
56088  0.29267  -1.00509  -179  0.19975  0
56244  0.26271  -1.00528  -179  0.20047  0
56395  0.23264  -1.00539  -179  0.20109  0
56552  0.20247  -1.00544  -179  0.20161  0
56709  0.17223  -1.00545  179  0.20204  0
56865  0.14193  -1.00543  179  0.20240  0
57021  0.11157  -1.00539  -177  0.20197  0
57178  0.08130  -1.00674  -172  0.18969  0
