t  ID  type  x  y  dx  dy
1200  4  1  1.00000  -0.92667  -0.00667  0.00000
1310  4  1  1.00000  -0.92667  -0.08000  0.35333
1419  4  1  1.00000  -0.92667  -0.10000  0.44000
1966  4  1  1.00000  -0.92667  -0.08667  0.44000
2075  4  1  1.00000  -0.92667  -0.06000  0.44667
2403  4  3  1.00000  -0.92667  -0.06000  0.44667
2731  3  1  1.12000  0.46667  0.04667  0.00667
2841  3  1  1.12000  0.46667  0.30667  0.01333
2950  3  1  1.12000  0.46667  0.62667  0.01333
3060  3  1  1.12000  0.46667  0.68667  0.00667
3169  3  1  1.12000  0.46667  0.72000  -0.01333
3278  3  1  1.12000  0.46667  0.74667  -0.02000
3388  3  1  1.12000  0.46667  0.75333  -0.02667
3497  3  1  1.12000  0.46667  0.76000  -0.03333
3606  3  1  1.12000  0.46667  0.78667  -0.06000
3716  3  1  1.12000  0.46667  0.82667  -0.11333
3825  3  1  1.12000  0.46667  0.86000  -0.18000
3935  3  1  1.12000  0.46667  0.87333  -0.21333
4044  3  1  1.12000  0.46667  0.88667  -0.23333
4153  3  1  1.12000  0.46667  0.92000  -0.26667
4263  3  3  1.12000  0.46667  0.92667  -0.26667
4810  4  1  -0.33333  -1.00667  -0.03333  -0.13333
4919  4  1  -0.33333  -1.00667  0.04000  -0.56667
5028  4  1  -0.33333  -1.00667  0.04000  -0.64667
5138  4  1  -0.33333  -1.00667  0.04000  -0.66667
5247  4  1  -0.33333  -1.00667  0.03333  -0.67333
5356  4  1  -0.33333  -1.00667  0.00667  -0.69333
5466  4  1  -0.33333  -1.00667  -0.00667  -0.70000
5575  4  1  -0.33333  -1.00667  -0.01333  -0.70667
5685  4  1  -0.33333  -1.00667  -0.02667  -0.72000
5794  4  1  -0.33333  -1.00667  -0.03333  -0.74000
5903  4  1  -0.33333  -1.00667  -0.03333  -0.74667
6231  4  1  -0.33333  -1.00667  -0.04000  -0.75333
6341  4  3  -0.33333  -1.00667  -0.04667  -0.75333
6888  2  1  0.42000  0.69333  0.00667  -0.00667
6997  2  1  0.42000  0.69333  -0.10667  -0.33333
7106  2  1  0.42000  0.69333  -0.38000  -0.82667
7216  2  1  0.42000  0.69333  -0.41333  -0.92000
7325  2  3  0.42000  0.69333  -0.42667  -0.93333
7544  4  1  -0.49333  -1.20000  -0.00667  -0.24000
7653  4  1  -0.49333  -1.20000  -0.04000  -0.36000
7763  4  1  -0.49333  -1.20000  -0.04667  -0.39333
7872  4  1  -0.49333  -1.20000  -0.06000  -0.40000
7981  4  1  -0.49333  -1.20000  -0.08667  -0.46000
8091  4  1  -0.49333  -1.20000  -0.14000  -0.66000
8200  4  1  -0.49333  -1.20000  0.25333  -0.68000
8310  4  1  -0.49333  -1.20000  0.56000  -0.60000
8419  4  1  -0.49333  -1.20000  0.57333  -0.59333
8638  4  3  -0.49333  -1.20000  0.57333  -0.59333
8966  3  1  1.09333  -0.94000  0.01333  0.00000
9075  3  3  1.09333  -0.94000  0.01333  0.00000
9294  3  1  0.58000  -0.76000  -0.25333  0.29333
9403  3  1  0.58000  -0.76000  -0.39333  0.76667
9513  3  1  0.58000  -0.76000  -0.39333  0.81333
9622  3  1  0.58000  -0.76000  -0.40000  0.84000
9731  3  1  0.58000  -0.76000  -0.40000  0.90000
9841  3  1  0.58000  -0.76000  -0.40000  0.92667
10060  3  1  0.58000  -0.76000  -0.39333  0.95333
10169  3  3  0.58000  -0.76000  -0.38667  1.00000
10388  1  1  -0.50667  0.72667  0.00667  -0.21333
10497  1  1  -0.50667  0.72667  0.15333  -0.50667
10606  1  1  -0.50667  0.72667  0.27333  -0.53333
10716  1  1  -0.50667  0.72667  0.34000  -0.54667
10825  1  1  -0.50667  0.72667  0.34667  -0.56667
10935  1  1  -0.50667  0.72667  0.36000  -0.62000
11044  1  1  -0.50667  0.72667  0.36000  -0.63333
11263  1  3  -0.50667  0.72667  0.36000  -0.63333
11700  3  1  0.40000  -0.83333  -0.04000  0.27333
11810  3  1  0.40000  -0.83333  -0.05333  0.56667
11919  3  1  0.40000  -0.83333  -0.05333  0.58000
12028  3  1  0.40000  -0.83333  -0.05333  0.59333
12138  3  1  0.40000  -0.83333  -0.05333  0.66667
12247  3  1  0.40000  -0.83333  0.00667  0.79333
12357  3  3  0.40000  -0.83333  0.02667  0.82667
12685  2  1  1.28000  0.14000  0.40667  -0.04000
12794  2  1  1.28000  0.14000  0.71333  -0.08667
12903  2  1  1.28000  0.14000  0.82000  -0.10667
13013  2  1  1.28000  0.14000  0.88000  -0.11333
13122  2  1  1.28000  0.14000  0.91333  -0.11333
13232  2  3  1.28000  0.14000  0.92000  -0.11333
13774  3  1  0.33333  -0.81333  -0.02000  0.14000
13883  3  1  0.33333  -0.81333  -0.06000  0.45333
13992  3  3  0.33333  -0.81333  -0.07333  0.49333
14211  4  1  -1.18667  -0.00667  0.54000  -0.18000
14320  4  1  -1.18667  -0.00667  1.48667  -0.35333
14430  4  1  -1.18667  -0.00667  1.49333  -0.35333
15086  4  3  -1.18667  -0.00667  1.49333  -0.35333
15524  1  1  0.16667  0.80000  0.00000  -0.20667
15633  1  1  0.16667  0.80000  -0.01333  -0.59333
15742  1  1  0.16667  0.80000  -0.02667  -0.66000
15852  1  1  0.16667  0.80000  -0.02667  -0.66667
15961  1  3  0.16667  0.80000  -0.02667  -0.66667
16180  3  1  0.03333  -1.12000  -0.00667  -0.05333
16289  3  1  0.03333  -1.12000  -0.08000  -0.52667
16399  3  1  0.03333  -1.12000  -0.11333  -0.63333
16508  3  1  0.03333  -1.12000  -0.13333  -0.66667
16617  3  1  0.03333  -1.12000  -0.14000  -0.68000
16727  3  1  0.03333  -1.12000  -0.15333  -0.68000
16836  3  1  0.03333  -1.12000  -0.17333  -0.69333
16945  3  1  0.03333  -1.12000  -0.18000  -0.70000
17055  3  1  0.03333  -1.12000  -0.18667  -0.70667
17164  3  3  0.03333  -1.12000  -0.18667  -0.70667
17383  1  1  0.63333  0.94000  0.00000  -0.49333
17492  1  1  0.63333  0.94000  -0.18000  -0.92000
17602  1  1  0.63333  0.94000  -0.21333  -0.98667
17711  1  1  0.63333  0.94000  -0.23333  -1.02000
17820  1  1  0.63333  0.94000  -0.24667  -1.04000
17930  1  1  0.63333  0.94000  -0.25333  -1.05333
18039  1  1  0.63333  0.94000  -0.26000  -1.07333
18149  1  1  0.63333  0.94000  -0.26000  -1.08000
18258  1  3  0.63333  0.94000  -0.26000  -1.09333
19024  3  1  -0.78667  -0.84667  0.00000  -0.16000
19133  3  1  -0.78667  -0.84667  0.00000  -0.36000
19242  3  1  -0.78667  -0.84667  0.00000  -0.40000
19352  3  1  -0.78667  -0.84667  -0.00667  -0.42000
19570  3  3  -0.78667  -0.84667  -0.01333  -0.42000
20008  4  1  -0.86000  0.72667  0.14667  -0.05333
20117  4  1  -0.86000  0.72667  0.50667  -0.40667
20227  4  1  -0.86000  0.72667  0.55333  -0.60667
20336  4  1  -0.86000  0.72667  0.56000  -0.62667
20445  4  1  -0.86000  0.72667  0.76667  -0.56667
20555  4  1  -0.86000  0.72667  0.97333  -0.46000
20664  4  3  -0.86000  0.72667  1.00667  -0.44000
21102  2  1  0.86667  -0.76000  -0.16000  0.31333
21211  2  1  0.86667  -0.76000  -0.24667  0.53333
21321  2  1  0.86667  -0.76000  -0.24667  0.68667
21430  2  1  0.86667  -0.76000  -0.22667  0.83333
21539  2  1  0.86667  -0.76000  -0.22667  0.88000
21758  2  3  0.86667  -0.76000  -0.22667  0.88000
22852  4  1  -0.34000  0.72667  0.00667  -0.41333
22961  4  1  -0.34000  0.72667  0.02000  -0.84000
23071  4  1  -0.34000  0.72667  0.02000  -0.87333
23180  4  1  -0.34000  0.72667  0.02000  -0.89333
23289  4  1  -0.34000  0.72667  0.02667  -0.91333
23399  4  1  -0.34000  0.72667  0.03333  -0.91333
23617  4  3  -0.34000  0.72667  0.03333  -0.92667
23836  3  1  -0.77333  -0.28000  0.24000  0.02000
23946  3  1  -0.77333  -0.28000  0.98667  0.03333
24055  3  3  -0.77333  -0.28000  1.01333  0.03333
24383  2  1  0.45333  -0.88667  -0.00667  0.03333
24492  2  1  0.45333  -0.88667  0.00667  0.44667
24602  2  3  0.45333  -0.88667  0.00667  0.46000
25039  3  1  -0.74667  -0.01333  0.19333  -0.08667
25149  3  1  -0.74667  -0.01333  0.87333  -0.16000
25258  3  1  -0.74667  -0.01333  1.01333  -0.16000
25367  3  1  -0.74667  -0.01333  1.03333  -0.16000
25477  3  1  -0.74667  -0.01333  1.04000  -0.15333
25696  3  1  -0.74667  -0.01333  1.06000  -0.14000
25805  3  1  -0.74667  -0.01333  1.12667  -0.10667
25914  3  1  -0.74667  -0.01333  1.20000  -0.07333
26024  3  1  -0.74667  -0.01333  1.20667  -0.07333
26133  3  3  -0.74667  -0.01333  1.20667  -0.07333
26352  2  1  -0.21333  -1.68667  0.01333  -0.07333
26461  2  1  -0.21333  -1.68667  0.03333  -0.16667
26571  2  1  -0.21333  -1.68667  0.06000  -0.20667
26680  2  1  -0.21333  -1.68667  0.16000  -0.20667
26789  2  1  -0.21333  -1.68667  0.36000  -0.20667
26899  2  1  -0.21333  -1.68667  0.44000  -0.22667
27008  2  1  -0.21333  -1.68667  0.58000  -0.25333
27117  2  1  -0.21333  -1.68667  0.61333  -0.25333
27446  2  3  -0.21333  -1.68667  0.62000  -0.24667
28211  4  1  0.52667  0.65333  -0.13333  -0.14000
28321  4  1  0.52667  0.65333  -0.90667  -0.55333
28430  4  1  0.52667  0.65333  -1.20000  -0.54667
28539  4  1  0.52667  0.65333  -1.31333  -0.49333
28649  4  1  0.52667  0.65333  -1.34000  -0.43333
28758  4  1  0.52667  0.65333  -1.34000  -0.42667
28867  4  3  0.52667  0.65333  -1.34000  -0.41333
29196  3  1  -0.93333  0.73333  0.44000  -0.13333
29305  3  1  -0.93333  0.73333  0.64667  -0.19333
29414  3  1  -0.93333  0.73333  0.68000  -0.21333
29524  3  1  -0.93333  0.73333  0.72000  -0.27333
29633  3  3  -0.93333  0.73333  0.74000  -0.30000
30617  1  1  0.61333  -0.70667  -0.03333  0.09333
30727  1  1  0.61333  -0.70667  -0.32667  0.62000
30836  1  1  0.61333  -0.70667  -0.36667  0.70667
30946  1  1  0.61333  -0.70667  -0.36667  0.72667
32258  1  3  0.61333  -0.70667  -0.36667  0.72667
32477  3  1  -0.45333  0.90667  0.08000  -0.08667
32586  3  1  -0.45333  0.90667  0.26667  -0.65333
32696  3  1  -0.45333  0.90667  0.20000  -0.89333
32805  3  1  -0.45333  0.90667  0.16667  -0.94667
32914  3  1  -0.45333  0.90667  0.16000  -0.95333
33352  3  3  -0.45333  0.90667  0.16000  -0.95333
34008  2  1  -0.95333  -0.34667  0.20667  0.02667
34118  2  1  -0.95333  -0.34667  0.78667  0.17333
34227  2  1  -0.95333  -0.34667  0.89333  0.20667
34336  2  1  -0.95333  -0.34667  0.96000  0.20667
34446  2  1  -0.95333  -0.34667  1.04667  0.20000
34555  2  1  -0.95333  -0.34667  1.11333  0.18667
34664  2  1  -0.95333  -0.34667  1.19333  0.14667
34774  2  1  -0.95333  -0.34667  1.30667  0.09333
34993  2  3  -0.95333  -0.34667  1.30667  0.09333
36196  2  1  -0.53333  -0.08667  0.44667  -0.00667
36305  2  1  -0.53333  -0.08667  0.86000  0.02000
36414  2  1  -0.53333  -0.08667  0.87333  0.02667
36524  2  1  -0.53333  -0.08667  0.92000  -0.00667
36633  2  1  -0.53333  -0.08667  0.92667  -0.01333
36743  2  1  -0.53333  -0.08667  0.93333  -0.02000
36852  2  3  -0.53333  -0.08667  0.93333  -0.02000
37071  1  1  -0.05333  -1.25333  -0.01333  -0.06667
37180  1  1  -0.05333  -1.25333  0.00000  -0.27333
37289  1  1  -0.05333  -1.25333  0.16667  -0.44667
37399  1  1  -0.05333  -1.25333  0.26000  -0.46667
37508  1  1  -0.05333  -1.25333  0.34000  -0.46000
37618  1  1  -0.05333  -1.25333  0.46000  -0.46000
37727  1  1  -0.05333  -1.25333  0.54667  -0.46000
37836  1  1  -0.05333  -1.25333  0.57333  -0.46000
37946  1  1  -0.05333  -1.25333  0.60667  -0.45333
38055  1  1  -0.05333  -1.25333  0.64000  -0.44000
38164  1  1  -0.05333  -1.25333  0.66000  -0.42667
38274  1  1  -0.05333  -1.25333  0.67333  -0.41333
38493  1  3  -0.05333  -1.25333  0.67333  -0.41333
38930  3  1  0.53333  0.53333  0.00000  -0.02000
39039  3  1  0.53333  0.53333  -0.14000  -0.32000
39149  3  1  0.53333  0.53333  -0.22667  -0.46000
39258  3  3  0.53333  0.53333  -0.23333  -0.46667
39696  1  1  0.00000  -1.36000  -0.24667  -0.16000
39805  1  1  0.00000  -1.36000  -0.38000  -0.44000
39914  1  1  0.00000  -1.36000  -0.16667  -0.56667
40024  1  1  0.00000  -1.36000  0.33333  -0.59333
40133  1  1  0.00000  -1.36000  0.42667  -0.58000
40243  1  1  0.00000  -1.36000  0.57333  -0.56000
40352  1  1  0.00000  -1.36000  0.59333  -0.56000
40571  1  1  0.00000  -1.36000  0.60667  -0.55333
40680  1  1  0.00000  -1.36000  0.62000  -0.53333
40789  1  3  0.00000  -1.36000  0.63333  -0.51333
41227  2  1  -0.58667  0.68667  0.08000  -0.10667
41336  2  1  -0.58667  0.68667  0.38667  -0.66667
41446  2  1  -0.58667  0.68667  0.40000  -0.85333
41555  2  1  -0.58667  0.68667  0.40000  -0.86667
41774  2  3  -0.58667  0.68667  0.40000  -0.86667
42102  1  1  -1.24667  -1.23333  -0.20667  -0.02667
42211  1  1  -1.24667  -1.23333  -0.63333  0.02000
42321  1  1  -1.24667  -1.23333  -0.67333  0.02000
42430  1  1  -1.24667  -1.23333  -0.68667  0.02667
42539  1  1  -1.24667  -1.23333  -0.68667  0.03333
42649  1  3  -1.24667  -1.23333  -0.66000  0.12000
42868  4  1  0.83333  -0.69333  0.00667  0.00667
42977  4  1  0.83333  -0.69333  -0.16000  0.60000
43086  4  1  0.83333  -0.69333  -0.22000  0.74000
43196  4  1  0.83333  -0.69333  -0.18667  0.81333
43305  4  1  0.83333  -0.69333  -0.17333  0.82667
43852  4  3  0.83333  -0.69333  -0.17333  0.83333
44071  2  1  -0.19333  0.76000  0.03333  -0.59333
44180  2  1  -0.19333  0.76000  0.03333  -0.68667
44290  2  1  -0.19333  0.76000  0.03333  -0.72667
44399  2  1  -0.19333  0.76000  0.03333  -0.75333
44508  2  1  -0.19333  0.76000  0.00000  -0.80667
44618  2  1  -0.19333  0.76000  -0.01333  -0.82000
44727  2  1  -0.19333  0.76000  -0.02000  -0.82667
44836  2  1  -0.19333  0.76000  -0.02667  -0.84000
44947  2  3  -0.19333  0.76000  -0.08667  -0.92000
45275  1  1  -0.77333  -0.28000  0.84667  0.11333
45384  1  1  -0.77333  -0.28000  1.04667  0.16667
45494  1  1  -0.77333  -0.28000  1.18000  0.18000
45603  1  1  -0.77333  -0.28000  1.35333  0.18000
45713  1  1  -0.77333  -0.28000  1.45333  0.18000
45822  1  3  -0.77333  -0.28000  1.46667  0.18000
46478  1  1  -0.64000  -0.25333  0.62000  0.08000
46588  1  1  -0.64000  -0.25333  0.90000  0.08000
46697  1  1  -0.64000  -0.25333  0.97333  0.00000
46806  1  1  -0.64000  -0.25333  1.03333  -0.02667
46916  1  1  -0.64000  -0.25333  1.12000  -0.06667
47025  1  1  -0.64000  -0.25333  1.18000  -0.14000
47134  1  1  -0.64000  -0.25333  1.20667  -0.24000
47244  1  3  -0.64000  -0.25333  1.13333  -0.30667
47572  4  1  -0.33333  -1.26000  -0.01333  -0.20667
47681  4  1  -0.33333  -1.26000  0.05333  -0.31333
47791  4  1  -0.33333  -1.26000  0.19333  -0.42000
47900  4  1  -0.33333  -1.26000  0.54667  -0.45333
48009  4  1  -0.33333  -1.26000  0.55333  -0.45333
48228  4  1  -0.33333  -1.26000  0.58000  -0.45333
48338  4  1  -0.33333  -1.26000  0.58667  -0.45333
