t  x  y  th  vel  obstacle
39    1.00000  -1.00000  0  0.00000  0
190   1.00000  -1.00000  -179  0.04055  0
341   0.99392  -1.00000  -179  0.07578  0
491   0.98255  -1.00000  -179  0.10619  0
641   0.96662  -1.00000  -179  0.13225  0
792   0.94679  -1.00000  -179  0.15439  0
943   0.92363  -1.00000  -179  0.17304  0
1095  0.89767  -1.00000  -179  0.18858  0
1246  0.86938  -1.00000  -179  0.20137  0
1396  0.83918  -1.00000  -179  0.21174  0
1546  0.80742  -1.00000  -179  0.22000  0
1697  0.77442  -1.00000  -179  0.22643  0
1848  0.74045  -1.00000  -179  0.23127  0
1999  0.70576  -1.00000  -179  0.23476  0
2149  0.67055  -1.00000  -179  0.23709  0
2300  0.63499  -1.00000  -179  0.23846  0
2451  0.59922  -1.00000  -179  0.25022  0
2603  0.56169  -1.00046  179  0.25305  0
2753  0.52373  -1.00012  175  0.23593  0
2904  0.48845  -0.99732  178  0.22085  0
3055  0.45533  -0.99665  -175  0.20190  0
3206  0.42513  -0.99893  -169  0.18720  0
3356  0.39750  -1.00392  -163  0.17570  0
3506  0.37222  -1.01137  -157  0.16755  0
3658  0.34900  -1.02098  -151  0.16221  0
3808  0.32754  -1.03245  -146  0.15905  0
3958  0.30754  -1.04547  -142  0.15742  4
4110  0.28871  -1.05971  -139  0.15672  0
4260  0.27074  -1.07487  -137  0.15652  0
4411  0.25336  -1.09065  -136  0.15649  0
4562  0.23629  -1.10676  -136  0.15648  0
4713  0.21925  -1.12291  -137  0.15646  0
4864  0.20203  -1.13885  -138  0.15649  0
5014  0.18437  -1.15432  -141  0.15674  0
5166  0.16609  -1.16910  -143  0.15740  0
5317  0.14700  -1.18300  -147  0.15868  0
5467  0.12696  -1.19583  -151  0.16076  0
5618  0.10583  -1.20746  -155  0.16378  0
5768  0.08352  -1.21775  -159  0.16779  0
5918  0.05997  -1.22661  -163  0.17275  0
6068  0.03512  -1.23398  -167  0.17857  0
6219  0.00898  -1.23981  -171  0.18508  0
6370  -0.01845  -1.24409  -174  0.19206  0
6522  -0.04713  -1.24681  -177  0.19930  0
6673  -0.07700  -1.24800  179  0.20656  0
6824  -0.10799  -1.24769  176  0.21364  0
6978  -0.13998  -1.24594  174  0.22033  0
7128  -0.17288  -1.24280  172  0.22650  0
7278  -0.20656  -1.23834  170  0.23199  0
7430  -0.24089  -1.23263  168  0.23670  0
7581  -0.27572  -1.22575  167  0.24058  0
7732  -0.31092  -1.21777  165  0.24356  0
7883  -0.34632  -1.20875  164  0.24562  0
8034  -0.38178  -1.19875  162  0.24677  0
8185  -0.41715  -1.18784  161  0.24703  0
8335  -0.45228  -1.17605  160  0.24642  0
8485  -0.48702  -1.16343  158  0.24501  0
8636  -0.52123  -1.15000  157  0.24286  0
8787  -0.55477  -1.13579  155  0.24004  0
8939  -0.58751  -1.12079  153  0.23667  0
9091  -0.61931  -1.10501  151  0.23285  0
9242  -0.65005  -1.08843  149  0.22870  0
9393  -0.67963  -1.07105  147  0.22436  0
9544  -0.70792  -1.05283  144  0.21998  0
9696  -0.73485  -1.03376  141  0.21573  0
9846  -0.76033  -1.01381  138  0.21175  0
9997  -0.78427  -0.99294  135  0.20820  0
10147  -0.80664  -0.97114  132  0.20523  0
10297  -0.82738  -0.94839  128  0.20287  0
10448  -0.84653  -0.92474  125  0.20113  0
10598  -0.86413  -0.90024  122  0.19995  0
10749  -0.88023  -0.87494  119  0.19927  0
10901  -0.89491  -0.84890  116  0.19902  0
11052  -0.90822  -0.82218  113  0.19912  0
11202  -0.92026  -0.79485  111  0.19949  0
11353  -0.93109  -0.76695  108  0.20005  0
11505  -0.94080  -0.73856  106  0.20075  0
11655  -0.94946  -0.70972  102  0.21473  0
11805  -0.95642  -0.67827  102  0.21080  0
11955  -0.96336  -0.64742  107  0.19664  0
12107  -0.97241  -0.61935  112  0.18560  0
12259  -0.98328  -0.59372  117  0.17726  0
12410  -0.99567  -0.57019  122  0.17110  0
12561  -1.00929  -0.54844  125  0.16659  0
12713  -1.02384  -0.52813  128  0.16324  0
12864  -1.03903  -0.50892  130  0.16065  0
13015  -1.05458  -0.49051  131  0.15856  0
13165  -1.07022  -0.47259  131  0.15682  0
13315  -1.08570  -0.45488  130  0.15541  0
13466  -1.10079  -0.43711  128  0.15439  0
13617  -1.11528  -0.41904  126  0.15390  0
13767  -1.12898  -0.40046  123  0.15411  0
13917  -1.14173  -0.38118  120  0.15519  0
14068  -1.15340  -0.36104  116  0.15726  0
14219  -1.16389  -0.33991  112  0.16039  0
14370  -1.17310  -0.31769  108  0.16457  0
14521  -1.18099  -0.29430  104  0.16970  0
14672  -1.18753  -0.26970  101  0.17565  0
14823  -1.19272  -0.24386  98  0.18221  0
14975  -1.19656  -0.21680  95  0.18917  0
15126  -1.19910  -0.18854  92  0.19632  0
15278  -1.20038  -0.15912  90  0.20345  0
15429  -1.20046  -0.12860  88  0.21039  0
15581  -1.19942  -0.09706  86  0.21697  0
15732  -1.19735  -0.06458  84  0.22308  0
15884  -1.19432  -0.03126  83  0.22861  0
16035  -1.19043  0.00281  82  0.23348  0
16186  -1.18576  0.03752  81  0.23766  0
16337  -1.18041  0.07276  80  0.24110  0
16489  -1.17444  0.10843  79  0.24379  0
16642  -1.16794  0.14442  79  0.24575  0
16793  -1.16099  0.18062  78  0.24697  0
16943  -1.15363  0.21693  78  0.24749  0
17094  -1.14594  0.25325  77  0.24732  0
17245  -1.13794  0.28947  77  0.24650  0
17396  -1.12967  0.32551  76  0.24506  0
17546  -1.12117  0.36127  76  0.24304  0
17698  -1.11244  0.39667  75  0.24047  0
17848  -1.10348  0.43161  75  0.23740  0
18000  -1.09430  0.46601  74  0.23386  0
18150  -1.08487  0.49980  73  0.22989  0
18300  -1.07518  0.53290  72  0.22553  0
18451  -1.06519  0.56522  71  0.22083  0
18601  -1.05485  0.59669  70  0.21584  0
18751  -1.04412  0.62723  69  0.21062  0
18901  -1.03295  0.65679  67  0.20524  0
19051  -1.02127  0.68527  65  0.19978  0
19203  -1.00902  0.71262  63  0.19434  0
19354  -0.99613  0.73877  61  0.18903  0
19505  -0.98254  0.76365  58  0.18398  0
19656  -0.96816  0.78721  55  0.17932  0
19807  -0.95294  0.80939  52  0.17522  0
19958  -0.93682  0.83014  48  0.17182  0
20109  -0.91973  0.84944  44  0.16926  0
20259  -0.90164  0.86725  40  0.16763  0
20409  -0.88250  0.88356  36  0.16692  0
20561  -0.86236  0.89843  32  0.16703  0
20712  -0.84125  0.91192  28  0.16785  0
20863  -0.81922  0.92411  25  0.16924  0
21015  -0.79631  0.93506  22  0.17107  0
21166  -0.77259  0.94485  19  0.17322  0
21317  -0.74812  0.95357  17  0.17556  0
21468  -0.72294  0.96129  14  0.17800  0
21618  -0.69712  0.96809  12  0.18047  0
21768  -0.67072  0.97406  10  0.18290  0
21918  -0.64378  0.97925  9  0.18523  0
22069  -0.61636  0.98376  7  0.18743  0
22220  -0.58851  0.98763  6  0.18949  0
22371  -0.56029  0.99095  1  0.18001  0
22522  -0.53329  0.99148  -6  0.16983  0
22673  -0.50795  0.98882  -13  0.16319  0
22825  -0.48412  0.98324  -20  0.15967  0
22975  -0.46162  0.97503  -26  0.15864  0
23127  -0.44028  0.96450  -31  0.15940  0
23277  -0.41993  0.95195  -36  0.16125  0
23427  -0.40039  0.93770  -39  0.16363  0
23577  -0.38148  0.92205  -42  0.16605  0
23728  -0.36303  0.90532  -43  0.16818  0
23879  -0.34486  0.88781  -44  0.16981  0
24031  -0.32680  0.86985  -45  0.17086  0
24181  -0.30870  0.85171  -44  0.17131  0
24332  -0.29038  0.83369  -43  0.17125  0
24483  -0.27170  0.81605  -41  0.17084  0
24633  -0.25253  0.79905  -39  0.17027  0
24784  -0.23272  0.78292  -36  0.16980  0
24934  -0.21218  0.76786  -32  0.16967  0
25085  -0.19080  0.75405  -29  0.17013  0
25235  -0.16850  0.74165  -25  0.17140  0
25387  -0.14521  0.73076  -20  0.17360  0
25537  -0.12088  0.72148  -16  0.17680  0
25689  -0.09548  0.71385  -12  0.18096  0
25841  -0.06900  0.70788  -8  0.18597  0
25991  -0.04145  0.70355  -5  0.19164  0
26142  -0.01283  0.70081  -2  0.19773  0
26292  0.01680  0.69955  0  0.20398  0
26442  0.04740  0.69964  2  0.21016  0
26593  0.07889  0.70099  4  0.21609  0
26743  0.11121  0.70353  6  0.22163  0
26894  0.14425  0.70718  7  0.22662  0
27045  0.17792  0.71182  9  0.23094  0
27196  0.21212  0.71734  10  0.23449  0
27348  0.24673  0.72360  11  0.23718  0
27499  0.28164  0.73047  11  0.23894  0
27651  0.31673  0.73780  12  0.23973  0
27802  0.35187  0.74543  12  0.23951  0
27953  0.38694  0.75322  12  0.23828  0
28104  0.42182  0.76100  12  0.23603  0
28257  0.45640  0.76862  12  0.23280  0
28408  0.49054  0.77593  11  0.22860  0
28559  0.52414  0.78278  10  0.22349  0
28709  0.55708  0.78903  9  0.21754  0
28859  0.58924  0.79453  8  0.21081  0
29011  0.62052  0.79916  6  0.20339  0
29161  0.65082  0.80277  4  0.19542  0
29312  0.68002  0.80526  2  0.18702  0
29462  0.70805  0.80651  0  0.17837  0
29612  0.73480  0.80641  -3  0.16966  0
29763  0.76021  0.80487  -7  0.16115  0
29913  0.78418  0.80180  -11  0.15313  0
30064  0.80667  0.79714  -16  0.14590  0
