t  ID  type  x  y  dx  dy
2292  4  1  0.67333  -1.00667  -0.00667  -0.01333
2397  4  1  0.67333  -1.00667  -0.02667  0.02667
2506  4  1  0.67333  -1.00667  -0.04000  0.49333
2615  4  1  0.67333  -1.00667  -0.04000  0.77333
2726  4  1  0.67333  -1.00667  0.06667  -0.12667
2838  4  1  0.67333  -1.00667  0.08000  -0.89333
2947  4  1  0.67333  -1.00667  0.04667  -1.16667
3057  4  1  0.67333  -1.00667  0.04667  -1.28667
3163  4  3  0.67333  -1.00667  0.04667  -1.28667
6881  1  1  -0.96000  0.32667  0.00000  0.00667
6991  1  1  -0.96000  0.32667  1.05333  -0.04667
7100  1  3  -0.96000  0.32667  1.84000  -0.06000
7542  3  1  0.95333  -0.52667  0.00000  0.00667
7650  3  1  0.95333  -0.52667  -0.36000  -0.00667
7758  3  1  0.95333  -0.52667  -1.62667  -0.07333
7865  3  3  0.95333  -0.52667  -1.64000  -0.08000
11476  4  1  -0.94000  -0.68667  0.00000  -0.00667
11586  4  1  -0.94000  -0.68667  -0.04667  -0.02667
11695  4  1  -0.94000  -0.68667  -1.01333  -0.06667
11803  4  3  -0.94000  -0.68667  -1.01333  -0.04667
12354  2  1  1.03333  0.56667  -0.02000  -0.02000
12463  2  1  1.03333  0.56667  0.44667  -0.02000
12570  2  1  1.03333  0.56667  0.86667  -0.05333
12682  2  1  1.03333  0.56667  0.65333  -0.06000
12787  2  1  1.03333  0.56667  -1.35333  -0.06000
12899  2  1  1.03333  0.56667  -1.88667  -0.14000
13008  2  3  1.03333  0.56667  -1.88667  -0.14000
16729  1  1  0.36667  0.95333  0.05333  -0.30000
16834  1  1  0.36667  0.95333  0.17333  -1.09333
16944  1  3  0.36667  0.95333  0.27333  -1.46000
17381  3  1  -0.54667  -1.10667  0.00000  0.00667
17601  3  1  -0.54667  -1.10667  0.07333  0.34000
17713  3  1  -0.54667  -1.10667  0.10667  0.54000
17819  3  3  -0.54667  -1.10667  0.20667  0.73333
22194  4  1  -0.60667  0.98000  0.03333  -0.36000
22307  4  1  -0.60667  0.98000  0.50000  -2.11333
22416  4  3  -0.60667  0.98000  0.50667  -2.12667
22853  2  1  0.34000  -1.00000  0.00000  -0.16000
22961  2  1  0.34000  -1.00000  0.16000  -1.54667
23070  2  3  0.34000  -1.00000  0.16000  -1.62667
26790  1  1  0.96667  -0.38000  -0.01333  0.01333
26897  1  1  0.96667  -0.38000  -1.18000  -0.00667
27007  1  3  0.96667  -0.38000  -2.01333  -0.12667
27777  3  1  -0.82667  0.17333  0.09333  0.04000
27881  3  1  -0.82667  0.17333  0.40667  0.12000
27995  3  3  -0.82667  0.17333  0.41333  0.12000
28431  3  1  -1.03333  0.38667  -1.44000  -0.36667
28543  3  3  -1.03333  0.38667  -2.89333  -0.57333
31821  2  1  -0.89333  -0.80000  -0.31333  -0.00667
31928  2  1  -0.89333  -0.80000  -2.31333  0.07333
32042  2  3  -0.89333  -0.80000  -2.25333  0.12000
32695  4  1  1.00000  0.47333  0.00667  -0.00667
32808  4  1  1.00000  0.47333  -4.04000  -0.11333
32915  4  3  1.00000  0.47333  -4.30000  -0.16667
36525  1  1  -0.28667  -0.98000  -0.00667  -0.00667
36632  1  1  -0.28667  -0.98000  -0.04667  -0.44000
36746  1  1  -0.28667  -0.98000  0.06000  -1.36667
36850  1  1  -0.28667  -0.98000  0.06667  -1.52667
36963  1  3  -0.28667  -0.98000  0.06667  -1.52667
38054  3  1  0.52667  0.88000  0.31333  -1.06667
38167  3  1  0.52667  0.88000  0.85333  -2.94000
38272  3  3  0.52667  0.88000  0.86000  -2.96667
41339  4  1  0.74667  -0.85333  0.32667  -1.29333
41446  4  1  0.74667  -0.85333  0.46667  -2.00000
41552  4  3  0.74667  -0.85333  0.47333  -2.00000
43195  2  1  -0.38000  0.88000  0.00667  0.00667
43305  2  1  -0.38000  0.88000  0.45333  -2.26000
43419  2  3  -0.38000  0.88000  0.45333  -2.30000
46588  1  1  -0.92000  0.18000  -0.00667  0.00667
46806  1  1  -0.92000  0.18000  0.54667  0.28667
46915  1  3  -0.92000  0.18000  0.93333  0.38667
47790  3  1  1.12000  -0.54000  -0.18667  -0.04000
