t  ID  type  x  y  dx  dy
1303  2  1  -0.88667  0.98000  0.01333  -0.01333
1413  2  1  -0.88667  0.98000  0.09333  -0.19333
1524  2  1  -0.88667  0.98000  0.18000  -0.32000
1632  2  1  -0.88667  0.98000  0.25333  -0.40000
1741  2  1  -0.88667  0.98000  0.33333  -0.46667
1854  2  1  -0.88667  0.98000  0.40667  -0.52667
1963  2  1  -0.88667  0.98000  0.45333  -0.56667
2070  2  1  -0.88667  0.98000  0.50000  -0.60000
2178  2  1  -0.88667  0.98000  0.54667  -0.64667
2290  2  1  -0.88667  0.98000  0.60667  -0.70667
2397  2  1  -0.88667  0.98000  0.68000  -0.76000
2507  2  1  -0.88667  0.98000  0.84667  -0.90667
2621  2  1  -0.88667  0.98000  0.96000  -1.18667
2728  2  3  -0.88667  0.98000  1.02000  -1.36000
3059  4  1  0.40000  -0.95333  0.06000  -0.19333
3164  4  1  0.40000  -0.95333  0.07333  -0.40000
3274  4  1  0.40000  -0.95333  0.08000  -0.56000
3381  4  1  0.40000  -0.95333  0.10667  -0.64667
3491  4  1  0.40000  -0.95333  0.12000  -0.70000
3602  4  1  0.40000  -0.95333  0.13333  -0.73333
3714  4  1  0.40000  -0.95333  0.14000  -0.75333
3818  4  1  0.40000  -0.95333  0.14667  -0.76667
3928  4  1  0.40000  -0.95333  0.15333  -0.76667
4257  4  3  0.40000  -0.95333  0.15333  -0.76667
6882  1  1  -0.94000  0.28000  -0.00667  0.01333
6995  1  1  -0.94000  0.28000  -0.24667  0.06000
7101  1  1  -0.94000  0.28000  -0.64667  0.12000
7211  1  1  -0.94000  0.28000  -0.92667  0.12667
7319  1  1  -0.94000  0.28000  -0.99333  0.12667
7432  1  1  -0.94000  0.28000  -1.02667  0.12667
7540  1  1  -0.94000  0.28000  -1.04000  0.13333
8632  1  3  -0.94000  0.28000  -1.06000  0.15333
9184  3  1  0.98667  -0.70000  -0.01333  -0.02000
9288  3  1  0.98667  -0.70000  -0.09333  -0.08667
9400  3  1  0.98667  -0.70000  -0.39333  -0.14000
9506  3  3  0.98667  -0.70000  -0.39333  -0.14000
11478  4  1  -0.96000  -0.72667  -0.02667  0.00667
11587  4  1  -0.96000  -0.72667  -0.45333  0.00667
11696  4  1  -0.96000  -0.72667  -0.83333  0.00667
11804  4  1  -0.96000  -0.72667  -1.06000  0.00667
11915  4  1  -0.96000  -0.72667  -1.20000  0.00667
12025  4  1  -0.96000  -0.72667  -1.22667  0.01333
12350  4  3  -0.96000  -0.72667  -1.22667  0.02667
13006  2  1  0.93333  0.41333  -0.29333  -0.26000
13117  2  1  0.93333  0.41333  -1.34667  -0.62000
13224  2  1  0.93333  0.41333  -1.52667  -0.67333
13338  2  1  0.93333  0.41333  -1.55333  -0.68667
13445  2  1  0.93333  0.41333  -1.56667  -0.69333
14102  2  1  0.93333  0.41333  -1.57333  -0.70000
