t  x  y  th  vel  obstacle
270   1.00000  1.00000  0  0.00000  0
421   1.00000  1.00000  -89  0.04055  0
573   1.00000  0.99392  -89  0.07578  0
724   1.00000  0.98255  -89  0.10619  0
874   1.00000  0.96662  -89  0.13225  0
1025  1.00000  0.94679  -89  0.15439  0
1176  1.00000  0.92363  -89  0.17304  0
1327  1.00000  0.89767  -89  0.18858  0
1479  1.00000  0.86938  -89  0.20137  0
1629  1.00000  0.83918  -89  0.21174  0
1781  1.00000  0.80742  -89  0.22000  0
1932  1.00000  0.77442  -89  0.22643  0
2084  1.00000  0.74045  -89  0.23127  0
2235  1.00000  0.70576  -89  0.23476  0
2385  1.00000  0.67055  -89  0.23709  0
2536  1.00000  0.63499  -89  0.23846  0
2686  1.00000  0.59922  -89  0.23903  0
2838  1.00000  0.56336  -89  0.23894  0
2989  1.00001  0.52752  -89  0.23833  0
3141  1.00002  0.49177  -89  0.23731  0
3291  1.00004  0.45618  -89  0.23597  0
3441  1.00006  0.42078  -89  0.23438  0
3592  1.00010  0.38562  -89  0.23264  0
3742  1.00015  0.35073  -89  0.23078  0
3892  1.00022  0.31611  -89  0.22886  0
4044  1.00030  0.28178  -89  0.22692  0
4195  1.00040  0.24774  -89  0.22499  0
4345  1.00051  0.21400  -89  0.22310  0
4495  1.00064  0.18053  -89  0.22126  0
4645  1.00079  0.14734  -89  0.21949  0
4796  1.00095  0.11442  -89  0.21780  0
4947  1.00113  0.08175  -89  0.21619  0
5098  1.00132  0.04932  -89  0.21466  0
5248  1.00152  0.01712  -89  0.21321  0
5399  1.00172  -0.01486  -89  0.21183  0
5550  1.00192  -0.04663  -89  0.21052  0
5705  1.00212  -0.07821  -89  0.20927  0
5855  1.00230  -0.10960  -89  0.20806  0
6006  1.00246  -0.14080  -89  0.20688  0
6157  1.00258  -0.17184  -89  0.20572  0
6307  1.00267  -0.20269  -89  0.20456  0
6458  1.00269  -0.23338  -90  0.20338  0
6608  1.00265  -0.26388  -90  0.20216  0
6760  1.00251  -0.29421  -90  0.20088  0
6910  1.00226  -0.32434  -90  0.19953  0
7061  1.00188  -0.35427  -91  0.19808  0
7213  1.00134  -0.38397  -91  0.19651  0
7364  1.00062  -0.41344  -91  0.19480  0
7515  0.99968  -0.44264  -92  0.19293  0
7666  0.99850  -0.47156  -92  0.19088  0
7817  0.99702  -0.50015  -98  0.17791  0
7969  0.99288  -0.52652  -105  0.16634  0
8120  0.98604  -0.55051  -113  0.15759  0
8270  0.97668  -0.57222  -120  0.15168  0
8421  0.96502  -0.59176  -127  0.14756  0
8572  0.95157  -0.60933  -133  0.14545  0
8724  0.93653  -0.62513  -138  0.14342  0
8875  0.92039  -0.63937  -142  0.14217  0
9026  0.90338  -0.65222  -146  0.13978  0
9177  0.88595  -0.66388  -148  0.13746  0
9328  0.86829  -0.67452  -150  0.13340  0
9478  0.85085  -0.68432  -151  0.12922  0
9629  0.83374  -0.69344  -152  0.12319  0
9781  0.81737  -0.70201  -151  0.11582  0
9931  0.80203  -0.71017  -151  0.10875  0
10081  0.78774  -0.71803  -149  0.10067  0
10232  0.77472  -0.72568  -147  0.09220  0
10383  0.76311  -0.73320  -143  0.08374  0
10533  0.75300  -0.74065  -139  0.07670  0
10684  0.74424  -0.74811  -134  0.07007  0
10835  0.73688  -0.75561  -145  0.08848  0
10986  0.72599  -0.76319  -151  0.10652  0
11138  0.71199  -0.77089  -154  0.12308  0
11288  0.69527  -0.77873  -157  0.13777  0
11438  0.67620  -0.78669  -158  0.15052  0
11589  0.65512  -0.79479  -160  0.16140  0
11739  0.63235  -0.80300  -161  0.17050  0
