t  ID  type  x  y  dx  dy
48992  3  3  0.91333  -0.54667  -2.17333  -0.50000
52605  4  1  -1.01333  -0.51333  -0.03333  0.00000
52711  4  1  -1.01333  -0.51333  -0.46000  -0.04000
52820  4  1  -1.01333  -0.51333  -0.84000  -0.10667
52930  4  1  -1.01333  -0.51333  -1.12667  -0.14000
53044  4  1  -1.01333  -0.51333  -1.26667  -0.16000
53147  4  1  -1.01333  -0.51333  -1.30667  -0.16000
53261  4  1  -1.01333  -0.51333  -1.32000  -0.16000
53480  4  3  -1.01333  -0.51333  -1.32000  -0.16000
57742  3  1  -0.50000  -0.97333  -0.01333  0.03333
57850  3  1  -0.50000  -0.97333  -0.01333  0.33333
57964  3  1  -0.50000  -0.97333  -0.01333  0.79333
58074  3  1  -0.50000  -0.97333  -0.01333  1.15333
58179  3  1  -0.50000  -0.97333  0.01333  1.32667
58295  3  1  -0.50000  -0.97333  0.03333  1.38000
58398  3  1  -0.50000  -0.97333  0.03333  1.38667
58728  3  3  -0.50000  -0.97333  0.03333  1.38667
62336  4  1  -0.52667  1.03333  0.00000  0.02000
62449  4  1  -0.52667  1.03333  0.04667  0.29333
62554  4  1  -0.52667  1.03333  0.14667  0.70667
62668  4  1  -0.52667  1.03333  0.20000  0.87333
62774  4  1  -0.52667  1.03333  0.23333  0.93333
62886  4  1  -0.52667  1.03333  0.26667  0.94667
62991  4  1  -0.52667  1.03333  0.35333  0.96000
63104  4  1  -0.52667  1.03333  0.38667  0.96000
63320  4  3  -0.52667  1.03333  0.38667  0.96000
66491  1  1  0.94667  -0.19333  0.02667  -0.02000
66601  1  1  0.94667  -0.19333  0.47333  -0.14667
66715  1  1  0.94667  -0.19333  0.96000  -0.24667
66823  1  1  0.94667  -0.19333  1.32667  -0.36667
66930  1  1  0.94667  -0.19333  1.56667  -0.48000
67037  1  1  0.94667  -0.19333  1.79333  -0.62000
67152  1  1  0.94667  -0.19333  2.01333  -0.72000
67256  1  1  0.94667  -0.19333  2.11333  -0.79333
67369  1  1  0.94667  -0.19333  2.13333  -0.83333
67478  1  1  0.94667  -0.19333  2.13333  -0.84000
67587  1  1  0.94667  -0.19333  2.13333  -0.84667
67804  1  3  0.94667  -0.19333  2.13333  -0.85333
72944  2  1  -1.02667  -0.52667  -0.06000  0.00000
73054  2  1  -1.02667  -0.52667  -0.50667  -0.00667
73163  2  1  -1.02667  -0.52667  -1.11333  -0.09333
73272  2  1  -1.02667  -0.52667  -1.47333  -0.15333
73384  2  1  -1.02667  -0.52667  -1.62667  -0.17333
73492  2  1  -1.02667  -0.52667  -1.70000  -0.19333
74042  2  3  -1.02667  -0.52667  -1.70000  -0.19333
77868  3  1  0.44667  0.88667  0.07333  -0.18000
77976  3  1  0.44667  0.88667  0.14000  -0.46000
78098  3  1  0.44667  0.88667  0.16667  -0.96000
78198  3  1  0.44667  0.88667  0.13333  -1.30667
78304  3  1  0.44667  0.88667  0.04667  -1.62000
78415  3  1  0.44667  0.88667  0.02000  -1.74000
78527  3  1  0.44667  0.88667  0.00667  -1.79333
78631  3  1  0.44667  0.88667  0.00667  -1.82000
78741  3  1  0.44667  0.88667  0.00667  -1.83333
78853  3  1  0.44667  0.88667  0.00000  -1.84000
78963  3  3  0.44667  0.88667  0.00000  -1.84000
82024  2  1  -0.62667  1.00000  0.00000  0.02000
82134  2  1  -0.62667  1.00000  -0.02000  0.26667
82241  2  1  -0.62667  1.00000  -0.02000  0.64000
82351  2  1  -0.62667  1.00000  0.00000  0.85333
82464  2  1  -0.62667  1.00000  0.02667  0.96000
82571  2  1  -0.62667  1.00000  0.06000  1.02667
82681  2  1  -0.62667  1.00000  0.08667  1.07333
82794  2  1  -0.62667  1.00000  0.12667  1.12000
82897  2  1  -0.62667  1.00000  0.16000  1.14667
83011  2  1  -0.62667  1.00000  0.18000  1.16000
83116  2  1  -0.62667  1.00000  0.20667  1.17333
83667  2  3  -0.62667  1.00000  0.20667  1.17333
87604  3  1  0.97333  -0.34000  0.16000  -0.06000
87714  3  1  0.97333  -0.34000  0.54000  -0.14000
87821  3  1  0.97333  -0.34000  1.05333  -0.23333
87930  3  1  0.97333  -0.34000  1.82000  -0.36667
88038  3  1  0.97333  -0.34000  2.22667  -0.40667
88150  3  1  0.97333  -0.34000  2.26667  -0.40667
88697  3  1  0.97333  -0.34000  2.33333  -0.40667
88804  3  1  0.97333  -0.34000  2.47333  -0.42000
88918  3  1  0.97333  -0.34000  2.56000  -0.42000
89022  3  1  0.97333  -0.34000  2.67333  -0.42667
89135  3  1  0.97333  -0.34000  2.84667  -0.42667
89243  3  1  0.97333  -0.34000  2.92667  -0.42667
89462  3  3  0.97333  -0.34000  2.92667  -0.42667
92741  4  1  -1.00667  -0.58667  -0.02667  0.00000
92854  4  1  -1.00667  -0.58667  -0.24000  0.00000
92964  4  1  -1.00667  -0.58667  -0.49333  -0.03333
93071  4  1  -1.00667  -0.58667  -0.74000  -0.06000
93180  4  1  -1.00667  -0.58667  -0.83333  -0.06667
93289  4  1  -1.00667  -0.58667  -0.88000  -0.07333
93400  4  1  -1.00667  -0.58667  -0.94000  -0.07333
93509  4  1  -1.00667  -0.58667  -0.96667  -0.07333
93618  4  1  -1.00667  -0.58667  -0.98667  -0.07333
93726  4  1  -1.00667  -0.58667  -0.99333  -0.07333
94170  4  3  -1.00667  -0.58667  -0.99333  -0.07333
97663  3  1  -0.40667  -1.02000  -0.02000  0.03333
97773  3  1  -0.40667  -1.02000  -0.05333  0.30000
97884  3  1  -0.40667  -1.02000  -0.09333  0.62000
97993  3  1  -0.40667  -1.02000  -0.09333  0.84000
98101  3  1  -0.40667  -1.02000  -0.09333  0.96667
98212  3  1  -0.40667  -1.02000  -0.08667  1.02000
98322  3  1  -0.40667  -1.02000  -0.07333  1.05333
98429  3  1  -0.40667  -1.02000  -0.07333  1.07333
98542  3  1  -0.40667  -1.02000  -0.06667  1.10667
98651  3  1  -0.40667  -1.02000  -0.06667  1.12000
98759  3  3  -0.40667  -1.02000  -0.06667  1.12000
