t  ID  type  x  y  dx  dy
2188  4  1  0.61333  -0.99333  -0.02667  0.09333
2298  4  1  0.61333  -0.99333  -0.02000  0.67333
2406  4  1  0.61333  -0.99333  -0.05333  1.33333
2518  4  3  0.61333  -0.99333  -0.06000  1.38000
3177  2  1  -0.40000  0.98000  0.00000  -0.03333
3281  2  1  -0.40000  0.98000  0.13333  -1.26667
3393  2  1  -0.40000  0.98000  0.14667  -1.56000
3500  2  3  -0.40000  0.98000  0.14667  -1.54667
7551  3  1  0.98667  -0.52000  -0.14667  0.00000
7656  3  1  0.98667  -0.52000  -0.48667  0.00000
7770  3  1  0.98667  -0.52000  -1.03333  0.00667
7875  3  1  0.98667  -0.52000  -1.66667  0.00667
7984  3  1  0.98667  -0.52000  -1.94667  0.00667
8093  3  3  0.98667  -0.52000  -1.94667  0.00667
8750  1  1  -0.94000  0.67333  0.48000  -0.02667
8863  1  1  -0.94000  0.67333  0.64667  -0.07333
8971  1  3  -0.94000  0.67333  0.64667  -0.07333
12034  4  1  -1.00000  -0.56667  -1.17333  -0.01333
12141  4  1  -1.00000  -0.56667  -1.48000  -0.02667
12251  4  3  -1.00000  -0.56667  -0.91333  0.14000
12795  2  1  1.11333  0.42000  0.21333  -0.02000
12905  2  1  1.11333  0.42000  2.86000  0.13333
13019  2  3  1.11333  0.42000  2.86667  0.14000
17171  3  1  -0.50667  -1.00000  0.00000  0.06667
17284  3  1  -0.50667  -1.00000  0.09333  0.50667
17393  3  1  -0.50667  -1.00000  0.24000  0.95333
17501  3  3  -0.50667  -1.00000  0.30667  1.05333
18158  1  1  0.58667  0.86000  0.10667  -0.55333
18269  1  1  0.58667  0.86000  0.05333  -2.36667
18376  1  3  0.58667  0.86000  0.04667  -2.33333
22205  2  1  0.59333  -0.94000  -0.09333  0.21333
22314  2  1  0.59333  -0.94000  -0.36000  0.83333
22421  2  1  0.59333  -0.94000  -0.49333  1.23333
22532  2  3  0.59333  -0.94000  -0.53333  1.33333
