t  x  y  th  vel  obstacle
277   1.00000  -1.00000  0  0.00000  0
427   1.00000  -1.00000  -179  0.04055  0
578   0.99392  -1.00000  -179  0.07578  0
728   0.98255  -1.00000  -179  0.10619  0
879   0.96662  -1.00000  -179  0.13225  0
1029  0.94679  -1.00000  -179  0.15439  0
1180  0.92363  -1.00000  -179  0.17304  0
1330  0.89767  -1.00000  -179  0.18858  0
1481  0.86938  -1.00000  -179  0.20137  0
1631  0.83918  -1.00000  -179  0.21174  0
1783  0.80742  -1.00000  -179  0.22000  0
1934  0.77442  -1.00000  -179  0.22643  0
2087  0.74045  -1.00000  -179  0.23127  0
2236  0.70576  -1.00000  -179  0.23476  0
2386  0.67055  -1.00000  177  0.23452  0
2537  0.63540  -0.99857  173  0.21905  0
2688  0.60278  -0.99466  167  0.20410  0
2841  0.57287  -0.98813  162  0.19256  0
2992  0.54537  -0.97929  156  0.18406  0
3143  0.51998  -0.96845  152  0.17805  0
3293  0.49637  -0.95595  147  0.17397  0
3443  0.47426  -0.94210  144  0.17123  0
3594  0.45333  -0.92722  142  0.16935  0
3744  0.43327  -0.91162  140  0.16797  0
3894  0.41382  -0.89561  139  0.16684  0
4045  0.39469  -0.87948  140  0.16586  0
4197  0.37562  -0.86351  141  0.16503  0
4347  0.35637  -0.84794  142  0.16446  0
4496  0.33673  -0.83301  145  0.16431  0
4646  0.31650  -0.81893  148  0.16476  0
4798  0.29551  -0.80589  151  0.16600  0
4949  0.27361  -0.79403  155  0.16817  0
5100  0.25070  -0.78348  159  0.17138  0
5251  0.22667  -0.77435  163  0.17561  0
5401  0.20147  -0.76668  166  0.18079  0
5550  0.17506  -0.76052  170  0.18679  0
5701  0.14743  -0.75587  173  0.19340  0
5851  0.11859  -0.75273  176  0.20041  0
6002  0.08858  -0.75104  179  0.20757  0
6154  0.05744  -0.75075  -178  0.21467  0
6305  0.02526  -0.75177  -176  0.22151  0
6457  -0.00789  -0.75400  -174  0.22789  0
6606  -0.04191  -0.75733  -172  0.23367  0
6758  -0.07670  -0.76165  -171  0.23872  0
6910  -0.11213  -0.76681  -170  0.24295  0
7061  -0.14810  -0.77269  -169  0.24628  0
7213  -0.18447  -0.77914  -169  0.24868  0
7364  -0.22113  -0.78603  -168  0.25010  0
7515  -0.25795  -0.79320  -168  0.25055  0
7666  -0.29482  -0.80054  -168  0.25003  0
7817  -0.33159  -0.80788  -168  0.24855  0
7970  -0.36817  -0.81511  -169  0.24614  0
8122  -0.40443  -0.82208  -169  0.24285  0
8272  -0.44025  -0.82868  -170  0.23870  0
8423  -0.47553  -0.83477  -171  0.23376  0
