t  ID  type  x  y  dx  dy
72283  2  1  -0.92000  -0.54000  -0.96000  0.38000
72391  2  3  -0.92000  -0.54000  -0.96667  0.38667
72833  4  1  1.03333  0.60667  -0.48667  -0.26000
72940  4  1  1.03333  0.60667  -2.14000  -0.72000
73052  4  1  1.03333  0.60667  -2.34000  -0.85333
73158  4  3  1.03333  0.60667  -2.36667  -0.96000
76766  1  1  -0.27333  -0.84000  -0.02667  -0.06000
76877  1  1  -0.27333  -0.84000  -0.24000  -0.55333
76988  1  1  -0.27333  -0.84000  -0.42667  -1.29333
77095  1  1  -0.27333  -0.84000  -0.40000  -1.52667
77207  1  1  -0.27333  -0.84000  -0.39333  -1.54000
77313  1  3  -0.27333  -0.84000  -0.38667  -1.54667
77972  3  1  0.52667  0.88667  0.02000  -0.12667
78079  3  1  0.52667  0.88667  0.46000  -1.19333
78188  3  1  0.52667  0.88667  0.64000  -1.60667
78299  3  3  0.52667  0.88667  0.68000  -1.72000
81688  4  1  0.62000  -0.84667  0.00000  -0.00667
81798  4  1  0.62000  -0.84667  0.08667  -0.44000
81908  4  1  0.62000  -0.84667  0.11333  -0.89333
82018  4  1  0.62000  -0.84667  0.08000  -1.07333
82126  4  3  0.62000  -0.84667  0.04000  -1.10667
83000  2  1  -0.41333  1.07333  0.00667  -0.02000
83110  2  1  -0.41333  1.07333  0.18667  -0.56667
83254  2  1  -0.41333  1.07333  0.48000  -1.52667
83332  2  1  -0.41333  1.07333  0.54667  -1.66667
83441  2  3  -0.41333  1.07333  0.64000  -1.76000
87376  1  1  -1.00667  0.33333  -0.07333  0.05333
87484  1  1  -1.00667  0.33333  -0.30667  0.20667
87599  1  1  -1.00667  0.33333  -0.51333  0.35333
87708  1  1  -1.00667  0.33333  -0.70000  0.44667
87814  1  1  -1.00667  0.33333  -0.79333  0.48667
87924  1  1  -1.00667  0.33333  -0.82000  0.50000
88036  1  3  -1.00667  0.33333  -0.82000  0.50000
92521  4  1  -0.87333  -0.60667  -0.02667  0.00000
92627  4  1  -0.87333  -0.60667  -0.28000  0.14667
92735  4  1  -0.87333  -0.60667  -0.73333  0.40000
92848  4  1  -0.87333  -0.60667  -1.00000  0.58667
92956  4  1  -0.87333  -0.60667  -1.12000  0.70000
93065  4  3  -0.87333  -0.60667  -1.15333  0.72000
94157  2  1  0.86000  0.22667  0.00000  -0.00667
94279  2  1  0.86000  0.22667  -0.50667  -0.15333
94375  2  1  0.86000  0.22667  -0.62667  -0.32000
94490  2  3  0.86000  0.22667  -0.64000  -0.45333
98207  3  1  -0.31333  -1.08000  -0.21333  -0.58667
98315  3  1  -0.31333  -1.08000  -0.16667  -1.08000
98423  3  1  -0.31333  -1.08000  -0.16667  -1.15333
98536  3  3  -0.31333  -1.08000  -0.16667  -1.15333
