t  x  y  th  vel  obstacle
362   1.00000  -1.00000  0  0.00000  0
513   1.00000  -1.00000  -179  0.04055  0
663   0.99392  -1.00000  -179  0.07578  0
814   0.98255  -1.00000  -179  0.10619  0
965   0.96662  -1.00000  -179  0.13225  0
1115  0.94679  -1.00000  -179  0.15439  0
1266  0.92363  -1.00000  -179  0.17304  0
1417  0.89767  -1.00000  -179  0.18858  0
1568  0.86938  -1.00000  -179  0.20137  0
1718  0.83918  -1.00000  -179  0.21174  0
1868  0.80742  -1.00000  -179  0.22000  0
2018  0.77442  -1.00000  -179  0.22643  0
2169  0.74045  -1.00000  -179  0.23127  0
2319  0.70576  -1.00000  -179  0.23476  0
2469  0.67055  -1.00000  -179  0.23709  0
2619  0.63499  -1.00000  -179  0.23846  0
2769  0.59922  -1.00000  -179  0.23903  0
2920  0.56336  -1.00000  -179  0.23894  0
3070  0.52752  -1.00001  -179  0.23833  0
3220  0.49177  -1.00002  -179  0.23731  0
3371  0.45618  -1.00004  -179  0.23597  0
3522  0.42078  -1.00006  -179  0.23438  0
3672  0.38562  -1.00010  -179  0.23264  0
3823  0.35073  -1.00015  -179  0.23078  0
3974  0.31611  -1.00022  -179  0.22886  4
4124  0.28178  -1.00030  -179  0.22692  4
4274  0.24774  -1.00040  -179  0.22499  0
4424  0.21400  -1.00051  -179  0.22310  0
4574  0.18053  -1.00064  -179  0.22126  0
4724  0.14734  -1.00079  -179  0.21949  0
4875  0.11442  -1.00095  -179  0.21780  0
5025  0.08175  -1.00113  -179  0.21619  0
5176  0.04932  -1.00132  -179  0.21466  0
5326  0.01712  -1.00152  -179  0.21321  0
5477  -0.01486  -1.00172  -179  0.21183  0
5627  -0.04663  -1.00192  -179  0.21052  0
5778  -0.07821  -1.00212  -179  0.20927  0
5928  -0.10960  -1.00230  -179  0.20806  0
6079  -0.14080  -1.00246  -179  0.20688  0
6230  -0.17184  -1.00258  -179  0.20572  0
6380  -0.20269  -1.00267  -179  0.20456  0
6530  -0.23338  -1.00269  179  0.20338  0
6681  -0.26388  -1.00265  179  0.20216  0
6832  -0.29421  -1.00251  179  0.20088  0
6984  -0.32434  -1.00226  179  0.19953  0
7136  -0.35427  -1.00188  178  0.19808  0
7287  -0.38397  -1.00134  178  0.19651  0
7438  -0.41344  -1.00062  178  0.19480  0
7590  -0.44264  -0.99968  177  0.19293  0
7740  -0.47156  -0.99850  177  0.19088  0
7891  -0.50015  -0.99702  176  0.18864  0
8042  -0.52839  -0.99522  175  0.18618  0
8194  -0.55623  -0.99305  174  0.18351  0
8345  -0.58364  -0.99046  173  0.18062  0
8495  -0.61056  -0.98740  172  0.17750  0
8646  -0.63694  -0.98381  170  0.17417  0
8796  -0.66273  -0.97965  169  0.17065  0
8948  -0.68787  -0.97484  167  0.16697  0
9100  -0.71230  -0.96933  165  0.16318  0
9250  -0.73596  -0.96304  162  0.15935  0
9401  -0.75877  -0.95592  159  0.15557  0
9552  -0.78068  -0.94789  156  0.15194  0
9703  -0.80162  -0.93889  153  0.14860  0
9854  -0.82153  -0.92885  149  0.14570  0
10004  -0.84033  -0.91772  145  0.14340  0
10155  -0.85799  -0.90543  140  0.14185  0
10307  -0.87444  -0.89193  135  0.14120  0
10459  -0.88965  -0.87719  131  0.14153  0
10610  -0.90359  -0.86118  126  0.14282  0
10762  -0.91630  -0.84393  122  0.14493  0
10912  -0.92782  -0.82550  118  0.14769  0
11063  -0.93823  -0.80594  114  0.15095  0
11214  -0.94757  -0.78532  111  0.15454  0
11364  -0.95591  -0.76369  108  0.15832  0
11516  -0.96332  -0.74113  105  0.16217  0
11667  -0.96986  -0.71770  103  0.16599  0
11818  -0.97561  -0.69348  101  0.16971  0
11969  -0.98064  -0.66852  99  0.17327  0
12120  -0.98500  -0.64290  98  0.17663  0
12272  -0.98875  -0.61667  96  0.18964  0
12423  -0.99216  -0.58843  98  0.19206  0
12574  -0.99645  -0.55994  100  0.19330  0
12725  -1.00171  -0.53143  102  0.19372  0
12876  -1.00805  -0.50307  104  0.19420  0
13029  -1.01535  -0.47487  106  0.19470  0
13179  -1.02350  -0.44683  107  0.19535  0
13329  -1.03239  -0.41890  108  0.19598  0
13480  -1.04189  -0.39108  109  0.19574  0
13632  -1.05184  -0.36346  110  0.19567  0
13782  -1.06213  -0.33597  104  0.19385  0
13933  -1.06963  -0.30788  100  0.19384  0
14083  -1.07475  -0.27926  96  0.19494  0
14233  -1.07786  -0.25018  92  0.19664  0
14384  -1.07932  -0.22072  90  0.19857  0
14534  -1.07941  -0.19094  88  0.20051  0
14684  -1.07839  -0.16088  86  0.20229  0
14836  -1.07648  -0.13059  85  0.20384  0
14987  -1.07390  -0.10013  84  0.20513  0
15138  -1.07079  -0.06951  83  0.20613  0
15289  -1.06732  -0.03879  83  0.20687  0
15439  -1.06359  -0.00799  82  0.20735  0
15590  -1.05971  0.02288  82  0.20761  0
15742  -1.05577  0.05377  82  0.20766  0
15893  -1.05182  0.08466  82  0.20754  0
16044  -1.04791  0.11555  82  0.20725  0
16194  -1.04409  0.14640  83  0.20681  0
16344  -1.04039  0.17720  83  0.20624  0
16496  -1.03680  0.20793  83  0.20553  0
16647  -1.03335  0.23856  83  0.20471  0
16798  -1.03002  0.26909  83  0.20375  0
16949  -1.02682  0.29948  84  0.20266  0
17101  -1.02371  0.32972  84  0.20143  0
17251  -1.02068  0.35978  84  0.20004  0
17401  -1.01769  0.38964  84  0.19850  0
17552  -1.01472  0.41927  84  0.19677  0
17703  -1.01173  0.44863  83  0.19485  0
17854  -1.00866  0.47769  83  0.19273  0
18005  -1.00547  0.50643  83  0.19039  0
18156  -1.00211  0.53479  82  0.18782  0
18307  -0.99853  0.56273  81  0.18502  0
18458  -0.99465  0.59021  81  0.18198  0
18609  -0.99042  0.61718  80  0.17871  0
18760  -0.98578  0.64358  78  0.17523  0
18911  -0.98065  0.66936  77  0.17156  0
19062  -0.97496  0.69446  75  0.16773  0
19213  -0.96864  0.71881  73  0.16381  0
19364  -0.96161  0.74236  70  0.15987  0
19516  -0.95379  0.76503  68  0.15600  0
19667  -0.94512  0.78676  65  0.15232  0
19818  -0.93552  0.80749  61  0.14896  0
19968  -0.92492  0.82716  57  0.14608  0
20120  -0.91324  0.84571  53  0.14385  0
20271  -0.90044  0.86307  49  0.14240  0
20421  -0.88646  0.87922  44  0.14187  0
20572  -0.87126  0.89412  39  0.14235  0
20722  -0.85482  0.90774  35  0.14376  0
20874  -0.83717  0.92013  30  0.14596  0
21024  -0.81837  0.93135  26  0.14879  0
21175  -0.79846  0.94144  23  0.15208  0
21325  -0.77752  0.95049  20  0.15568  0
21476  -0.75560  0.95855  17  0.15944  0
21627  -0.73278  0.96569  14  0.16325  0
21778  -0.70911  0.97199  12  0.16702  0
21930  -0.68468  0.97750  10  0.17067  0
22081  -0.65953  0.98231  9  0.17416  0
22233  -0.63374  0.98647  7  0.17744  0
22384  -0.60737  0.99004  6  0.18050  0
22534  -0.58046  0.99309  2  0.18330  0
22686  -0.55300  0.99431  -2  0.18189  0
22837  -0.52573  0.99332  -6  0.18145  0
22989  -0.49868  0.99031  -10  0.18107  0
23139  -0.47195  0.98551  -13  0.18284  0
23289  -0.44526  0.97917  -15  0.18517  0
23440  -0.41855  0.97156  -17  0.18818  0
23591  -0.39165  0.96300  -18  0.19118  0
23742  -0.36453  0.95370  -19  0.19418  0
23893  -0.33711  0.94387  -20  0.19698  0
24045  -0.30938  0.93366  -20  0.19950  0
24195  -0.28134  0.92319  -20  0.20195  0
24347  -0.25296  0.91263  -14  0.19993  0
24498  -0.22387  0.90533  -8  0.20012  0
24648  -0.19419  0.90081  -4  0.20161  0
24800  -0.16403  0.89860  0  0.20373  0
24951  -0.13347  0.89832  2  0.20602  0
25101  -0.10259  0.89961  4  0.20820  0
25252  -0.07147  0.90215  6  0.21009  0
25404  -0.04015  0.90569  7  0.21161  0
25555  -0.00870  0.90997  8  0.21273  0
25707  0.02284  0.91481  9  0.21344  0
25857  0.05442  0.92003  9  0.21376  0
26009  0.08602  0.92547  9  0.21374  0
26159  0.11760  0.93101  9  0.21339  0
26310  0.14913  0.93654  9  0.21277  0
26461  0.18058  0.94197  9  0.21190  0
26613  0.21193  0.94722  9  0.21081  0
26765  0.24315  0.95222  8  0.20951  0
26916  0.27422  0.95693  8  0.20804  0
27066  0.30512  0.96128  7  0.20639  0
27217  0.33583  0.96525  6  0.20458  0
27368  0.36631  0.96880  5  0.20260  0
27519  0.39654  0.97188  4  0.20046  0
27670  0.42650  0.97448  4  0.19814  0
27822  0.45615  0.97657  3  0.19565  0
27973  0.48545  0.97810  1  0.19297  0
28125  0.51438  0.97907  0  0.19010  0
28276  0.54289  0.97942  0  0.18702  0
28426  0.57095  0.97913  -2  0.18375  0
28577  0.59849  0.97817  -3  0.18028  0
28729  0.62548  0.97649  -5  0.17663  0
28881  0.65186  0.97406  -7  0.17280  0
29031  0.67758  0.97082  -9  0.16884  0
29183  0.70257  0.96672  -11  0.16478  0
29335  0.72678  0.96173  -14  0.16069  0
29486  0.75014  0.95578  -17  0.15665  0
29637  0.77258  0.94882  -20  0.15277  0
29789  0.79405  0.94080  -24  0.14918  0
29940  0.81447  0.93165  -28  0.14601  0
30091  0.83379  0.92133  -32  0.14343  0
30244  0.85195  0.90979  -37  0.14161  0
30394  0.86889  0.89698  -41  0.14068  0
30544  0.88458  0.88287  -46  0.14076  0
30695  0.89899  0.86744  -51  0.14185  0
30845  0.91214  0.85071  -56  0.14382  0
30996  0.92409  0.83275  -60  0.14650  0
31146  0.93488  0.81361  -64  0.14972  0
31297  0.94459  0.79336  -67  0.15331  0
31448  0.95327  0.77206  -70  0.15713  0
31599  0.96100  0.74979  -73  0.16105  0
31751  0.96783  0.72662  -75  0.16495  0
31901  0.97385  0.70262  -77  0.16876  0
32052  0.97911  0.67786  -79  0.17242  0
